method,auebc,b_2p5,b_5,b_7p5,saving_vs_uniform_b5
uniform,0.01736345802834,0.1875,0.1875,0.0625,0.0
appearance_oracle,0.017704585153060243,1.0,0.1875,0.0625,0.0
reconstruction_oracle,0.017199040856641055,0.1875,0.09375,0.09375,0.5
mechanical_oracle,0.010624525770798778,0.0625,0.0625,0.0625,0.6666666666666667
random_median,0.017618681081798558,1.0,0.1875,0.0625,0.0
