nominal_checkpoint,equal_domain_mae,effective_mean,effective_min,effective_max,reconstruction_mse,ssim,method,protocol
0.03125,0.09838443694915028,0.03065323418722207,0.030500054951093526,0.03132613992342499,0.0015238835076897765,0.8871205421992593,uniform,P-B
0.0625,0.09484154017720269,0.06070790005170371,0.05952522255192878,0.062457974717590105,0.0013722688712915476,0.8976842230528748,uniform,P-B
0.09375,0.09587551896628617,0.09147532927786098,0.09100340696779866,0.09361551909628833,0.0012189092867128783,0.9081710712720513,uniform,P-B
0.125,0.09461627653258498,0.12405881614500107,0.12242004615891856,0.12474765053950575,0.0011332602956745494,0.9172930039667386,uniform,P-B
0.1875,0.09020137290363867,0.18556496745386114,0.18539180129684582,0.1866776888270101,0.000841838610590575,0.939627178268445,uniform,P-B
0.25,0.09000720724583766,0.24720736949911687,0.2467831629849434,0.25,0.0006343161386963559,0.9594402719260193,uniform,P-B
0.5,0.09018267976368499,0.4986371119414194,0.4905673512008354,0.49963952082646446,,,uniform,P-B
0.03125,0.10749032548708572,0.030653234187222055,0.030500054951093526,0.03132613992342499,0.0015238835076897763,0.8871205421992594,uniform,P-A
0.0625,0.10243077294576196,0.06070790005170372,0.05952522255192878,0.062457974717590105,0.0013722688712915479,0.8976842230528749,uniform,P-A
0.09375,0.09879507584581933,0.09147532927786102,0.09100340696779866,0.09361551909628833,0.0012189092867128778,0.9081710712720515,uniform,P-A
0.125,0.09718881147374882,0.12405881614500112,0.12242004615891856,0.12474765053950575,0.0011332602956745494,0.9172930039667385,uniform,P-A
0.1875,0.0913586598133912,0.1855649674538611,0.18539180129684582,0.1866776888270101,0.0008418386105905751,0.9396271782684448,uniform,P-A
0.25,0.08934291819469965,0.2472073694991169,0.2467831629849434,0.25,0.0006343161386963557,0.9594402719260193,uniform,P-A
0.5,0.08933819001130844,0.4986371119414194,0.4905673512008354,0.49963952082646446,,,uniform,P-A
