dataset_id,protocol,method,nominal_checkpoint,effective_mean,effective_min,effective_max,mae
74t7kcdgkr,P-A,uniform,0.5,0.49656894863967455,0.4905673512008354,0.49963952082646446,0.052825186247812655
74t7kcdgkr,P-B,uniform,0.5,0.49656894863967455,0.4905673512008354,0.49963952082646446,0.05028231061266398
74t7kcdgkr,P-A,full,1.0,1.0,1.0,1.0,0.052003607090763716
74t7kcdgkr,P-B,full,1.0,1.0,1.0,1.0,0.052003607090763716
cgtnjyggtm,P-A,uniform,0.5,0.4996395208264644,0.49963952082646446,0.49963952082646446,0.12410789102414313
cgtnjyggtm,P-B,uniform,0.5,0.4996395208264644,0.49963952082646446,0.49963952082646446,0.12340943322793145
cgtnjyggtm,P-A,full,1.0,1.0,1.0,1.0,0.12486849958988919
cgtnjyggtm,P-B,full,1.0,1.0,1.0,1.0,0.12486849958988919
w68dtmpfyf,P-A,uniform,0.5,0.49963952082646435,0.49963952082646446,0.49963952082646446,0.08899265251117681
w68dtmpfyf,P-B,uniform,0.5,0.49963952082646435,0.49963952082646446,0.49963952082646446,0.09293924181200003
w68dtmpfyf,P-A,full,1.0,1.0,1.0,1.0,0.09660573834513045
w68dtmpfyf,P-B,full,1.0,1.0,1.0,1.0,0.09660573834513045
xcmzfsbd9t,P-A,uniform,0.5,0.49669563970298425,0.4905673512008354,0.49963952082646446,0.07185914447002009
xcmzfsbd9t,P-B,uniform,0.5,0.49669563970298425,0.4905673512008354,0.49963952082646446,0.07560084303833066
xcmzfsbd9t,P-A,full,1.0,1.0,1.0,1.0,0.0751151275587624
xcmzfsbd9t,P-B,full,1.0,1.0,1.0,1.0,0.0751151275587624
yfxyg8jm46,P-A,uniform,0.5,0.49963952082646435,0.49963952082646446,0.49963952082646446,0.13642950235599138
yfxyg8jm46,P-B,uniform,0.5,0.49963952082646435,0.49963952082646446,0.49963952082646446,0.13649834874820566
yfxyg8jm46,P-A,full,1.0,1.0,1.0,1.0,0.12743074387350148
yfxyg8jm46,P-B,full,1.0,1.0,1.0,1.0,0.12743074387350148
ykhs7s2dck,P-A,uniform,0.5,0.49963952082646423,0.49963952082646446,0.49963952082646446,0.061814763458706526
ykhs7s2dck,P-B,uniform,0.5,0.49963952082646423,0.49963952082646446,0.49963952082646446,0.06236590114297823
ykhs7s2dck,P-A,full,1.0,1.0,1.0,1.0,0.06179111148763879
ykhs7s2dck,P-B,full,1.0,1.0,1.0,1.0,0.06179111148763879
