specimen_id,dataset_id,initial_budget,cell_index,row,column,boundary_or_interior,native_height,native_width,native_count,added_measurements,added_fraction,grid_state_sha256,candidate_bank_state_sha256
c8-2,74t7kcdgkr,0.015625,20,2,4,interior,338,340,114920,464,0.00403759136790811,9f9ebc641c05f42ba2f509e907182fbe078c4a4a0f620818c85feb329e67e279,2b17097a85fdb41b4413fecfa7f5b141b2e132cc479adb127fceb28c2c444fc4
c8-2,74t7kcdgkr,0.015625,21,2,5,interior,338,340,114920,448,0.0038983640793595546,9f9ebc641c05f42ba2f509e907182fbe078c4a4a0f620818c85feb329e67e279,2b17097a85fdb41b4413fecfa7f5b141b2e132cc479adb127fceb28c2c444fc4
c8-2,74t7kcdgkr,0.015625,22,2,6,interior,338,340,114920,448,0.0038983640793595546,9f9ebc641c05f42ba2f509e907182fbe078c4a4a0f620818c85feb329e67e279,2b17097a85fdb41b4413fecfa7f5b141b2e132cc479adb127fceb28c2c444fc4
c8-2,74t7kcdgkr,0.015625,23,2,7,boundary,338,340,114920,448,0.0038983640793595546,9f9ebc641c05f42ba2f509e907182fbe078c4a4a0f620818c85feb329e67e279,2b17097a85fdb41b4413fecfa7f5b141b2e132cc479adb127fceb28c2c444fc4
c8-2,74t7kcdgkr,0.015625,24,3,0,boundary,338,340,114920,448,0.0038983640793595546,9f9ebc641c05f42ba2f509e907182fbe078c4a4a0f620818c85feb329e67e279,2b17097a85fdb41b4413fecfa7f5b141b2e132cc479adb127fceb28c2c444fc4
c8-2,74t7kcdgkr,0.015625,25,3,1,interior,338,340,114920,448,0.0038983640793595546,9f9ebc641c05f42ba2f509e907182fbe078c4a4a0f620818c85feb329e67e279,2b17097a85fdb41b4413fecfa7f5b141b2e132cc479adb127fceb28c2c444fc4
c8-2,74t7kcdgkr,0.015625,26,3,2,interior,338,340,114920,448,0.0038983640793595546,9f9ebc641c05f42ba2f509e907182fbe078c4a4a0f620818c85feb329e67e279,2b17097a85fdb41b4413fecfa7f5b141b2e132cc479adb127fceb28c2c444fc4
c8-2,74t7kcdgkr,0.015625,27,3,3,interior,338,340,114920,448,0.0038983640793595546,9f9ebc641c05f42ba2f509e907182fbe078c4a4a0f620818c85feb329e67e279,2b17097a85fdb41b4413fecfa7f5b141b2e132cc479adb127fceb28c2c444fc4
c8-2,74t7kcdgkr,0.015625,28,3,4,interior,338,340,114920,464,0.00403759136790811,9f9ebc641c05f42ba2f509e907182fbe078c4a4a0f620818c85feb329e67e279,2b17097a85fdb41b4413fecfa7f5b141b2e132cc479adb127fceb28c2c444fc4
c8-2,74t7kcdgkr,0.015625,29,3,5,interior,338,340,114920,448,0.0038983640793595546,9f9ebc641c05f42ba2f509e907182fbe078c4a4a0f620818c85feb329e67e279,2b17097a85fdb41b4413fecfa7f5b141b2e132cc479adb127fceb28c2c444fc4
c8-2,74t7kcdgkr,0.015625,30,3,6,interior,338,340,114920,448,0.0038983640793595546,9f9ebc641c05f42ba2f509e907182fbe078c4a4a0f620818c85feb329e67e279,2b17097a85fdb41b4413fecfa7f5b141b2e132cc479adb127fceb28c2c444fc4
