method,protocol,nominal_checkpoint,equal_domain_mae,mae_mean,mae_median,mae_q05,mae_q95,effective_mean,effective_min,effective_max
sequential_mechanical_oracle,P-A,0.03125,0.07076588615227884,,,,,0.030760323170438406,0.03037476645785251,0.03132613992342499
sequential_mechanical_oracle,P-A,0.0625,0.05191121397180141,,,,,0.06119669188748313,0.059154194222067524,0.06249564914723286
sequential_mechanical_oracle,P-A,0.09375,0.04524850594124503,,,,,0.09212250219187586,0.09025408980160111,0.0937079747175901
sequential_mechanical_oracle,P-A,0.125,0.041506475664532735,,,,,0.12310957298316244,0.12143092647543687,0.12499395537971206
sequential_mechanical_oracle,P-A,0.1875,0.03804477950541923,,,,,0.185621323930972,0.18401362787119463,0.18749313111330915
sequential_mechanical_oracle,P-A,0.25,0.03652433529577804,,,,,0.24820384568227782,0.2464930212111221,0.24999890097812946
sequential_mechanical_oracle,P-B,0.03125,0.093774218832699,,,,,0.030760323170438406,0.03037476645785251,0.03132613992342499
sequential_mechanical_oracle,P-B,0.0625,0.07782275552753558,,,,,0.06119669188748313,0.059154194222067524,0.06249564914723286
sequential_mechanical_oracle,P-B,0.09375,0.06410688766351583,,,,,0.09212250219187586,0.09025408980160111,0.0937079747175901
sequential_mechanical_oracle,P-B,0.125,0.061092180373514555,,,,,0.12310957298316244,0.12143092647543687,0.12499395537971206
sequential_mechanical_oracle,P-B,0.1875,0.04990708920904868,,,,,0.185621323930972,0.18401362787119463,0.18749313111330915
sequential_mechanical_oracle,P-B,0.25,0.04551411025990809,,,,,0.24820384568227782,0.2464930212111221,0.24999890097812946
