outer_target,specimen_id,specimen_sha256,task,source,method,surface_internal_stratum,auebc,endpoint_task_loss,curve_sha256,record_sha256
74t7kcdgkr,c8-10t,f2d63040427a0b884f7705acb8fb1fc944ff243a5a51041ae020477b45bc9e88,FIELD,LEARNED,NO_TASK,SURFACE_INTERNAL_PARTIAL,0.0010035948166646873,0.0005963438417035546,51f302281a1983b40256c569d13fe4a48b0210a02aec0864f4491ee19248e267,370f23f79469aa2ee34ee912ccaa22ab061ada9661f5ea8f6fce7af9b7f16456
74t7kcdgkr,c8-10t,f2d63040427a0b884f7705acb8fb1fc944ff243a5a51041ae020477b45bc9e88,FIELD,REFERENCE,ORACLE_FIELD,SURFACE_INTERNAL_PARTIAL,0.0009655848230868454,0.0003584873171707118,a3afa01c2f0eff53316504a6db83a89d062940abc6e7fda538bbec7975b0ddb9,0ef9b031d310d23177b5709ba446828987d45fc610e194306ef834a38aa582ed
74t7kcdgkr,c8-10t,f2d63040427a0b884f7705acb8fb1fc944ff243a5a51041ae020477b45bc9e88,FIELD,LEARNED,PROPOSED,SURFACE_INTERNAL_PARTIAL,0.0010040794697461026,0.0005963589516697561,f089093cd2140acb5c9b6966dcf2cd3edc6858d65d9dfef0af2fef5cc51eb933,80fcb46de3e9352467a07353c81fb5aef3b6aaa023bf5829021c7bba9f226104
74t7kcdgkr,c8-10t,f2d63040427a0b884f7705acb8fb1fc944ff243a5a51041ae020477b45bc9e88,FIELD,REFERENCE,RANDOM,SURFACE_INTERNAL_PARTIAL,0.0010071536725112292,0.000546633957139161,0378d346bffc237b429c5738a17f9b6c255dadac544cead67d35b251d3fd25c3,a0a4560e710debb778f288ce0e7759d346555f955b047b208edfe0bc8af242f2
74t7kcdgkr,c8-10t,f2d63040427a0b884f7705acb8fb1fc944ff243a5a51041ae020477b45bc9e88,FIELD,LEARNED,SHUFFLED_SURFACE,SURFACE_INTERNAL_PARTIAL,0.0010052799384620995,0.0005386871177411299,1d19bbe9b9921b0c6d550af26768bb492890076fda8de46970a6b35d7063b5c0,2449edeab67b58dbdbede35aa32f746762a9a59d61cc7ae55b7e1faa70784145
74t7kcdgkr,c8-10t,f2d63040427a0b884f7705acb8fb1fc944ff243a5a51041ae020477b45bc9e88,FIELD,REFERENCE,SURFACE_FOCUS,SURFACE_INTERNAL_PARTIAL,0.0010015181966711681,0.0005460210626562608,b325e28795b3fc8633b5c07bbb2ca9bbb6aa06493aeb06fe0dcd1f245e3299ef,c6a0b66e12c082a32b284c79c0ce0e00b773fcebcc36d085a4f1fc8b055bacf7
74t7kcdgkr,c8-10t,f2d63040427a0b884f7705acb8fb1fc944ff243a5a51041ae020477b45bc9e88,FIELD,REFERENCE,SURVEY_THEN_REFINE_FIXED,SURFACE_INTERNAL_PARTIAL,0.0010025289728461035,0.0005503749413886692,bdeac20a7a87ab942ece5ac4d83ba3f64f5792004008b4561b386ff6ceb2f756,c0a3d8936a5e7eb8375e2e68ba38ec2a77a84c69ab9df332cecac95247468fdf
74t7kcdgkr,c8-10t,f2d63040427a0b884f7705acb8fb1fc944ff243a5a51041ae020477b45bc9e88,FIELD,LEARNED,WRONG_TASK,SURFACE_INTERNAL_PARTIAL,0.001003595288851131,0.0005963589516697561,83bc32cd0068344e50ca3fa0e82528e146d371993f31a6a93c1ed8a86ee0c5c5,5108395e21ed45fbf8f176d806da01d98a01d74364807aedcd6112b3f2a7c28d
74t7kcdgkr,c8-10t,f2d63040427a0b884f7705acb8fb1fc944ff243a5a51041ae020477b45bc9e88,FIELD,REFERENCE,ZERO_UNIFORM,SURFACE_INTERNAL_PARTIAL,0.0010025289728461035,0.0005503749413886692,24c728593a26f129df0655d9cd18800de543650163741a5014ea7d8750ce3778,52d5bae54cb8f879f42cad6350f11e64d28e7af4aa751b05a975c4203da2c108
74t7kcdgkr,c8-11,cf5a6c443f1e30cc75680846358e6c3f1df55d908737ae1ce8cdffc5ac4cc152,CAI,REFERENCE,CENTER_FIRST,SURFACE_INTERNAL_MISLEADING,0.012100413926688116,0.020953373260818142,f6c2c5befaf2e953b39cc6d7481c4c971c4d1289351f4de6ed627a7c6e8984c7,2c9423d89601b26f4c974f51c44ee8ac18c312ee14f2cd8a3e751a15b1e24e6e
