outer_target,specimen_id,task,grid_sha256,warm_start_sha256,evaluator_sha256,warm_start_cells,endpoint_budget,nominal_checkpoints_json
74t7kcdgkr,c8-16,FIELD,1e6158e14643bff066811b375a2b20ab054ab072c48745b6b47db729ef0f81f0,19a0dd13cb9b0aa046886493d43b16d0a3d865fc54ef5d57366f316252fa324a,604d4eb739a3c497e14183796eae7770813e2c11a14a5dfb7ddfaa3ff5f4e7bf,8,0.25,"[0.0,0.0625,0.125,0.1875,0.25]"
74t7kcdgkr,c8-17,CAI,9f9ebc641c05f42ba2f509e907182fbe078c4a4a0f620818c85feb329e67e279,939c1cf22a007d39fdc102a7603c316b0545a45e2ba50fe3eb885b5721da81ac,be70fb0791f881043fb1cf8d950ab9274ee92d04c868ee10429b0eefb4133ce6,8,0.25,"[0.0,0.0625,0.125,0.1875,0.25]"
74t7kcdgkr,c8-17,FIELD,9f9ebc641c05f42ba2f509e907182fbe078c4a4a0f620818c85feb329e67e279,dd221fb501f697a41815df9dd63760fb5a9930ad14ce345b75d3f2f79a69bb44,604d4eb739a3c497e14183796eae7770813e2c11a14a5dfb7ddfaa3ff5f4e7bf,8,0.25,"[0.0,0.0625,0.125,0.1875,0.25]"
74t7kcdgkr,c8-18,CAI,1e6158e14643bff066811b375a2b20ab054ab072c48745b6b47db729ef0f81f0,3cbde938a98541656dbeb5401a9482e3f7f90f10e6f2dd52fa59d1dba8a8e303,be70fb0791f881043fb1cf8d950ab9274ee92d04c868ee10429b0eefb4133ce6,8,0.25,"[0.0,0.0625,0.125,0.1875,0.25]"
74t7kcdgkr,c8-18,FIELD,1e6158e14643bff066811b375a2b20ab054ab072c48745b6b47db729ef0f81f0,8e5188ac6fc58c524c8127cae7638dfa4441a35afa1d5d42073817fcb5983370,604d4eb739a3c497e14183796eae7770813e2c11a14a5dfb7ddfaa3ff5f4e7bf,8,0.25,"[0.0,0.0625,0.125,0.1875,0.25]"
74t7kcdgkr,c8-19,CAI,9b013907df821ccaa85bcaa795167259a3371598ae902970065976d0b1ac5fed,3733efe2f1404236b2ad92cdc21e7b4ead39af3f1a5fc5084f0de6432bf587ff,be70fb0791f881043fb1cf8d950ab9274ee92d04c868ee10429b0eefb4133ce6,8,0.25,"[0.0,0.0625,0.125,0.1875,0.25]"
74t7kcdgkr,c8-19,FIELD,9b013907df821ccaa85bcaa795167259a3371598ae902970065976d0b1ac5fed,a3116af623c57e24b20c3719c277f1eb63853f4f7b8871dadab3302524c4d6a1,604d4eb739a3c497e14183796eae7770813e2c11a14a5dfb7ddfaa3ff5f4e7bf,8,0.25,"[0.0,0.0625,0.125,0.1875,0.25]"
74t7kcdgkr,c8-2,CAI,9f9ebc641c05f42ba2f509e907182fbe078c4a4a0f620818c85feb329e67e279,8cf2f06a945b7eb40ab8de3344fde9e2790c4602387babd1aeed9a482a211168,be70fb0791f881043fb1cf8d950ab9274ee92d04c868ee10429b0eefb4133ce6,8,0.25,"[0.0,0.0625,0.125,0.1875,0.25]"
74t7kcdgkr,c8-2,FIELD,9f9ebc641c05f42ba2f509e907182fbe078c4a4a0f620818c85feb329e67e279,775df8617c91572031973ba611124bf48d656499bdb6b622445474066c3b1349,604d4eb739a3c497e14183796eae7770813e2c11a14a5dfb7ddfaa3ff5f4e7bf,8,0.25,"[0.0,0.0625,0.125,0.1875,0.25]"
74t7kcdgkr,c8-20,CAI,9b013907df821ccaa85bcaa795167259a3371598ae902970065976d0b1ac5fed,ea2c2b6d1f4db5f2634a9250a3dc771529c72fd6bf1525eaefe54f9468bdd961,be70fb0791f881043fb1cf8d950ab9274ee92d04c868ee10429b0eefb4133ce6,8,0.25,"[0.0,0.0625,0.125,0.1875,0.25]"
