outer_target,task,method,specimen_count,mean_auebc
74t7kcdgkr,CAI,CENTER_FIRST,45,0.02113412541962485
74t7kcdgkr,CAI,NO_SURFACE,45,0.021478360116184786
74t7kcdgkr,CAI,NO_TASK,45,0.022012616079718175
74t7kcdgkr,CAI,ORACLE_CAI,45,0.0044860252655855495
74t7kcdgkr,CAI,PROPOSED,45,0.022274117758931296
74t7kcdgkr,CAI,RANDOM,45,0.02148782048191512
74t7kcdgkr,CAI,SHUFFLED_SURFACE,45,0.02110789667622224
74t7kcdgkr,CAI,SURFACE_FOCUS,45,0.020074428965810357
74t7kcdgkr,CAI,SURVEY_THEN_REFINE_FIXED,45,0.020335827660870217
74t7kcdgkr,CAI,WRONG_TASK,45,0.022350606489236164
74t7kcdgkr,CAI,ZERO_UNIFORM,45,0.020335827660870217
74t7kcdgkr,FIELD,CENTER_FIRST,45,0.0016339896292531665
74t7kcdgkr,FIELD,NO_SURFACE,45,0.0016609817566933592
74t7kcdgkr,FIELD,NO_TASK,45,0.0017179816774542504
74t7kcdgkr,FIELD,ORACLE_FIELD,45,0.0014722082133974967
74t7kcdgkr,FIELD,PROPOSED,45,0.0017136475905606319
74t7kcdgkr,FIELD,RANDOM,45,0.0016150909804956545
74t7kcdgkr,FIELD,SHUFFLED_SURFACE,45,0.0016933951390462746
74t7kcdgkr,FIELD,SURFACE_FOCUS,45,0.0016041082731041063
74t7kcdgkr,FIELD,SURVEY_THEN_REFINE_FIXED,45,0.0016048590463960321
74t7kcdgkr,FIELD,WRONG_TASK,45,0.0017207505474191866
74t7kcdgkr,FIELD,ZERO_UNIFORM,45,0.0016048590463960321
cgtnjyggtm,CAI,CENTER_FIRST,49,0.039644845338525005
cgtnjyggtm,CAI,NO_SURFACE,49,0.04188904069427737
cgtnjyggtm,CAI,NO_TASK,49,0.04147729170199766
cgtnjyggtm,CAI,ORACLE_CAI,49,0.008877217758002865
cgtnjyggtm,CAI,PROPOSED,49,0.04136429479136222
cgtnjyggtm,CAI,RANDOM,49,0.039328756813824715
cgtnjyggtm,CAI,SHUFFLED_SURFACE,49,0.04158412673529617
cgtnjyggtm,CAI,SURFACE_FOCUS,49,0.04046717443379696
cgtnjyggtm,CAI,SURVEY_THEN_REFINE_FIXED,49,0.04098907376354996
cgtnjyggtm,CAI,WRONG_TASK,49,0.04146424328430442
cgtnjyggtm,CAI,ZERO_UNIFORM,49,0.04098907376354996
cgtnjyggtm,FIELD,CENTER_FIRST,49,0.003044167777710037
cgtnjyggtm,FIELD,NO_SURFACE,49,0.0031287575333822726
cgtnjyggtm,FIELD,NO_TASK,49,0.0031154398886380956
cgtnjyggtm,FIELD,ORACLE_FIELD,49,0.0029846460424248363
cgtnjyggtm,FIELD,PROPOSED,49,0.0031156225759268836
cgtnjyggtm,FIELD,RANDOM,49,0.0030767671434621404
cgtnjyggtm,FIELD,SHUFFLED_SURFACE,49,0.0031114069675043194
cgtnjyggtm,FIELD,SURFACE_FOCUS,49,0.003046297921717413
cgtnjyggtm,FIELD,SURVEY_THEN_REFINE_FIXED,49,0.0030635426283372124
cgtnjyggtm,FIELD,WRONG_TASK,49,0.003114001064475204
cgtnjyggtm,FIELD,ZERO_UNIFORM,49,0.0030635426283372124
w68dtmpfyf,CAI,CENTER_FIRST,43,0.030855290435439005
w68dtmpfyf,CAI,NO_SURFACE,43,0.0250587545723138
w68dtmpfyf,CAI,NO_TASK,43,0.02917780742581685
w68dtmpfyf,CAI,ORACLE_CAI,43,0.005298475518255757
w68dtmpfyf,CAI,PROPOSED,43,0.029161826362171316
w68dtmpfyf,CAI,RANDOM,43,0.026423336258355246
w68dtmpfyf,CAI,SHUFFLED_SURFACE,43,0.0282722100664711
w68dtmpfyf,CAI,SURFACE_FOCUS,43,0.030237954073813432
w68dtmpfyf,CAI,SURVEY_THEN_REFINE_FIXED,43,0.02645515627647815
w68dtmpfyf,CAI,WRONG_TASK,43,0.028941523699988658
w68dtmpfyf,CAI,ZERO_UNIFORM,43,0.02645515627647815
w68dtmpfyf,FIELD,CENTER_FIRST,43,0.0018254510563235826
w68dtmpfyf,FIELD,NO_SURFACE,43,0.0018760561248093428
w68dtmpfyf,FIELD,NO_TASK,43,0.0018610326074514467
w68dtmpfyf,FIELD,ORACLE_FIELD,43,0.0017727299751479307
w68dtmpfyf,FIELD,PROPOSED,43,0.0018604747375313131
w68dtmpfyf,FIELD,RANDOM,43,0.0018408854355997663
w68dtmpfyf,FIELD,SHUFFLED_SURFACE,43,0.00185969756012071
w68dtmpfyf,FIELD,SURFACE_FOCUS,43,0.0018247448092222338
