outer_target,specimen_id,specimen_sha256,task,stop_authorized,threshold,stopped,budget,normalized_measurement_saving,task_loss,reference_task_loss,task_loss_ratio,premature_stop,false_continue,state_sha256
74t7kcdgkr,c8-17,2d52e10408edf0c4f47911eb6fced94a1a6c41dea1956432a782dfad77671163,FIELD,false,,false,0.24660633484162897,0.0,0.0011139911604143079,0.0007073813703164406,1.57480986517354,false,,ba858cb967ba6aafc6b1c929d65653161326e4cc823851a99ce468bb7d7c8fce
74t7kcdgkr,c8-18,79b189e79aa4d08bf2797848426b158cc07ef9adf9ab3f7d00043739f74d4615,CAI,false,,false,0.24730197686928457,0.0,0.07736658902878746,0.018427085402340282,4.198525558413146,false,,0bc05d75a7c025288600bd0924da3abed6c88bacfe88d97fdf55c9af026a2ebb
74t7kcdgkr,c8-18,79b189e79aa4d08bf2797848426b158cc07ef9adf9ab3f7d00043739f74d4615,FIELD,false,,false,0.24873083647122107,0.0,0.0012720323857867112,0.0012189335410988326,1.0435617225201725,false,,18c2d9aca88b23a4cc1325a290792c33d1a182a69e4e9c59bf8d8e6516781ccc
74t7kcdgkr,c8-19,f2fde55bb3a687cfd17682028b7c2a71c7c65509bb61b9fb2d8b58babb1df4ee,CAI,false,,false,0.24709088910869326,0.0,0.034886649910872314,0.06257497875622775,0.5575175669939837,false,,1d5204e59fb0c51af559641e735d2057da0bd5400eaa61925a4c54d3afbdecd2
74t7kcdgkr,c8-19,f2fde55bb3a687cfd17682028b7c2a71c7c65509bb61b9fb2d8b58babb1df4ee,FIELD,false,,false,0.24709088910869326,0.0,0.00045985593390894026,0.00038241045003459674,1.2025192665821163,false,,da572c131b3ce6ee30cd1564f0935130b64bd6bf14201c4b8bda28d0e0bdf100
74t7kcdgkr,c8-2,d4e2a2e9eda8bd5dc9bce9396b576e024708bd778328e1701d5ab6e9f94143a2,CAI,false,,false,0.2490428123912287,0.0,0.031510415778756795,0.005261988127605921,5.988309934308666,false,,96d1bb1c200fb75fdca8bc4195a0561d0822a9e46e6e6509ae6fe81b043067c1
74t7kcdgkr,c8-2,d4e2a2e9eda8bd5dc9bce9396b576e024708bd778328e1701d5ab6e9f94143a2,FIELD,false,,false,0.24802471284371738,0.0,0.0022423535728112285,0.0013514919850857472,1.6591689758847956,false,,ccafac236e287e255e259a4d9e6f870dd0427cc1da73ef2ff44c4ff00c4a33e9
74t7kcdgkr,c8-20,b5b5ff1b0a90598e9f6bf1c5decb86d1d58cda0012011ee77874afc1cbd0650d,CAI,false,,false,0.24708869106495218,0.0,0.11331000731881702,0.15765578198476116,0.7187177399543103,false,,d25d70f0ccaf7177fd4d2070c9c0997a413dc6447495c30b5bfb7ecda2532a75
74t7kcdgkr,c8-20,b5b5ff1b0a90598e9f6bf1c5decb86d1d58cda0012011ee77874afc1cbd0650d,FIELD,false,,false,0.2498626222661831,0.0,0.0006322750371034319,0.0005175454468360529,1.2216802233866872,false,,dbe3375fa469953bdb601e7171aa8e251eb75624291ca0e7a3ffdc917dc78c0b
74t7kcdgkr,c8-21,c2bb6d13ee20d4f368edb31f7e7cc5ebabe29d7b0998a777bfc134f73f39216d,CAI,false,,false,0.24993076162215627,0.0,0.03878623842536455,0.029387005032666114,1.3198431885879627,false,,c10d316644e46911363d1412fcc54504a9fc246f640075f8ea1c0ec9740a286b
74t7kcdgkr,c8-21,c2bb6d13ee20d4f368edb31f7e7cc5ebabe29d7b0998a777bfc134f73f39216d,FIELD,false,,false,0.24995713814704912,0.0,0.0006133068013143813,0.0004179399411801467,1.4674519970084041,false,,9c174bce54146878367661dfe2e46bc22f6425232196e549a6d8ef531e4b6fc9
74t7kcdgkr,c8-22,5a59af90787b01fdec76dbaf6df99ad13367fdbc52529cc59f344fd630c409f6,CAI,false,,false,0.24750192328827345,0.0,0.0790268339881055,0.05103267652455934,1.5485535811564586,false,,e829bf7234f447080bd5da86ee21809a0b5d11ca94b47cabba07bb45942d9316
74t7kcdgkr,c8-22,5a59af90787b01fdec76dbaf6df99ad13367fdbc52529cc59f344fd630c409f6,FIELD,false,,false,0.24750192328827345,0.0,0.0008091005264445746,0.00041947946757989,1.9288203332395073,false,,0a40ff2f98365dc936397e5d7632fc4d5b28dccc94dd210aed3c5d550df3c531
74t7kcdgkr,c8-23,87cf8607885dc17d4e88d3daa15c8c75fa744b812e0f88df13009f23b979226c,CAI,false,,false,0.24681833168480052,0.0,0.007956748752380394,0.01852056543986258,0.4296169454553884,false,,025ed44ea80d247b832cdc1fefb07d7bfbbc9a46e7ed698762b8667c4dd49310
74t7kcdgkr,c8-23,87cf8607885dc17d4e88d3daa15c8c75fa744b812e0f88df13009f23b979226c,FIELD,false,,false,0.24766238048137157,0.0,0.0006586659733659803,0.0006458980519256355,1.0197677039004522,false,,c6896a4c5a67a452597f2585c715cd55e2f6c9524c0c54860c35ae6bc6b553d4
74t7kcdgkr,c8-24,18a714c263f5bc1ab2b80a6fdf39a8b2d4cd7a85464b32748056c90b8558697d,CAI,false,,false,0.2474293878448181,0.0,0.0011656634678257616,0.002563281886142854,0.45475430311717113,false,,0a159f5e14a7ad6e43f45215a53c2fb4e6eef92cd74177abe5d35d4819d189d2
74t7kcdgkr,c8-24,18a714c263f5bc1ab2b80a6fdf39a8b2d4cd7a85464b32748056c90b8558697d,FIELD,false,,false,0.2476162215628091,0.0,0.0007943785742594765,0.0006415714522597251,1.2381763114015414,false,,b2c639a5b13cb15e4e5e6601d49a726f4b7d3ce214f717af2542c59b3453dd45
74t7kcdgkr,c8-25,a24c5815df30913e99aa5b539ddfe770057f912ae877c5d7a6ac115e356ae30f,CAI,false,,false,0.24766457852511264,0.0,0.024092613769204463,0.015260067815945244,1.578801225511599,false,,6106c083ca266e1c0f0266f26ff45e72b8254f20f032ec81b16e0d6dd6589c22
74t7kcdgkr,c8-25,a24c5815df30913e99aa5b539ddfe770057f912ae877c5d7a6ac115e356ae30f,FIELD,false,,false,0.24812836575447852,0.0,0.0005717775944243662,0.0004394107186421334,1.301237248356783,false,,28113111aa5773c35bef524de1f15603d64d498d3140318ad8355f46d97267f0
74t7kcdgkr,c8-26,41e5b7c831333fcb78799f7e62f84cc7fac79d650db609994f45d6a0029e2b70,CAI,false,,false,0.24780745136828222,0.0,0.07217401839776272,0.07227192160308138,0.9986453493535657,false,,20c397e136ec14aaf340ada4231941bede211131c9731f969b6c065d7f9590f8
74t7kcdgkr,c8-26,41e5b7c831333fcb78799f7e62f84cc7fac79d650db609994f45d6a0029e2b70,FIELD,false,,false,0.24682272777228267,0.0,0.0004371880888113897,0.0005105903440414515,0.8562404164382263,false,,7d78c81b3e02f5ea789776b78b6044e11bbd81b165678245f14f8c9e1dd80724
74t7kcdgkr,c8-27,05f3cebba538c47627b776431210fc621f9233d9d92a1396cef0f2931e8c6e20,CAI,false,,false,0.24771513353115726,0.0,0.0520555122255989,0.052518852173192854,0.991177645199366,false,,5d1c68be3b03e70ed1296e6121ee64d1261a4c7d1afe5bba1ba9b8c9b8684674
74t7kcdgkr,c8-27,05f3cebba538c47627b776431210fc621f9233d9d92a1396cef0f2931e8c6e20,FIELD,false,,false,0.24771513353115726,0.0,0.0004552410730459119,0.00041853525807372975,1.0877006518903982,false,,374d6c972b103627e1bf98ffd1289186269c5f486917c5be3048636e69d090ef
74t7kcdgkr,c8-28,396e3cb8cc7d750d971a7942b5e9267901a6a1710f965fc223476af5a571ccae,CAI,false,,false,0.2476008352566216,0.0,0.1427347308711081,0.14672099678148787,0.9728309785386987,false,,002e2c261df35d29519bdd8ca7bc2cae0f60753c3114330d809deed0c2a24ee3
74t7kcdgkr,c8-28,396e3cb8cc7d750d971a7942b5e9267901a6a1710f965fc223476af5a571ccae,FIELD,false,,false,0.24671282558522914,0.0,0.00041623623333556854,0.00041623623333556854,1.0,false,,f79450e467e3e1124d7a90fb6fddcb57fb134233b65023af5db679aa69db2249
74t7kcdgkr,c8-29,2e501e12ac5b0ec2a1180f28206e329551cd876f180efe2003d2718c2d09d94e,CAI,false,,false,0.24675678646005056,0.0,0.04155026762088432,0.0412805173365236,1.0065345664678007,false,,030cdd85ab1bb66f1af270957a85bf708399e7851436e0b4d304982d2cf87c70
74t7kcdgkr,c8-29,2e501e12ac5b0ec2a1180f28206e329551cd876f180efe2003d2718c2d09d94e,FIELD,false,,false,0.24675678646005056,0.0,0.0004123495917161217,0.0004190368616273436,0.9840413325804998,false,,4a66374ae3da38cd227e1435bc3832385d3659c57694eef16aec2c06e88efbe5
74t7kcdgkr,c8-3,4accf717be55051d51809eff82035cf7f8e3e3d320af48bf34057c6616538d3f,CAI,false,,false,0.24686491393222162,0.0,0.06838916400248662,0.02325088381235152,2.9413576083570807,false,,de8b4b80b4591b5b9f2260c0106f1a7826d9fe3403962f9fd4f0d07dc22f65ed
74t7kcdgkr,c8-3,4accf717be55051d51809eff82035cf7f8e3e3d320af48bf34057c6616538d3f,FIELD,false,,false,0.24673043302850994,0.0,0.0018748691469612417,0.0013766095570061502,1.3619469205478323,false,,c753beb0568fbca5d2db2a0e4d550932625b5ae3f4e6f144bb2c5ab5cd60e6d2
74t7kcdgkr,c8-30,a4beb9b8a39f1a40bc135bff32abf5621bb38616364b83212634fb8ccecfdf30,CAI,false,,false,0.2486954610396747,0.0,0.019352958793977137,0.028935895365940434,0.6688218404589933,false,,1ca27c9ad53bab80fcc4be83dec3b049c3ce64e75599365181a8e5253470e80c
74t7kcdgkr,c8-30,a4beb9b8a39f1a40bc135bff32abf5621bb38616364b83212634fb8ccecfdf30,FIELD,false,,false,0.2486954610396747,0.0,0.0005487543552597281,0.00044486489812737683,1.233530353978625,false,,234a1b5242e259c357651e01b431c70b551137a739b5a072a9fdccf9a0b67071
74t7kcdgkr,c8-32,02437e43b2115946d164a22cf67b7ddec02dfe87c2e11617e09bb1334e792b11,CAI,false,,false,0.24680953950983625,0.0,0.08313166240940773,0.08302890501019078,1.0012376099528753,false,,2ca53f2faa15e6ee3db920853b2e3a0b8be861aec992ca0ef235b2f5b87eb7c0
