outer_target,source_domain,row_count,parquet_sha256,records_sha256,manifest_sha256
74t7kcdgkr,cgtnjyggtm,1666,096e0aba4686d4bc7875dcfa37d4b08609e735e753c939cc00da8125a7b93a7e,726f7a9dbcc4f8e160fd3ad5f921e990dd0fc1e65f2261867dc2f9308f11c747,34edffcd749e88af611e7b0f715fa0bd54cdf2c6aa72d0537aff002baae4f6f3
74t7kcdgkr,w68dtmpfyf,1462,c71cdd95ccca2c9b578fa1ed20c14d9abbd244f378cf5965ca97ef3fdab10719,2a1334167c87190f59509f62f8db3791af0701b6ed73a80e58c02a28e9cf7a2c,a98af06c4191dee5ebcf78185d8c4f5e24f308e7c209555f73779cbab760f6bd
74t7kcdgkr,xcmzfsbd9t,2006,51b4778a5ee2af1484933b9440051bdc128f34ee4002aaf8e206e89565303c53,0542c095fa6bb7501645a24d002bc81e56e4fb5ab8e482686279bc22fbfb4bfd,1348eb595722c36844cc287924e34e9a72eed8201d97df249d03686a3ea1d6ef
74t7kcdgkr,yfxyg8jm46,1428,df0d9cf345b128f5f111ec5bbe0fb4dda495726790d4e220bc0ccec12c663edf,2a57200e2ae123ae3a225b08786bc7faf80592f26ca335ca06ca0689ddab0b08,2b74cc864d4ca60ad5918030907c9fe1ed8536c78c87aeaaef256dfe6a941f03
74t7kcdgkr,ykhs7s2dck,1292,bc73795ff77b9edb3d0c54c697ad9876d9e5f737779b839a6f090d5000d2a734,b08f39f121dbf3dc18734f7356d3da6320ae379e9270a99629662db1533adae6,1627e2ac47aeeb12a4abe6b63eef615d2b984b153b0fb16075d7fe7f34e36e04
cgtnjyggtm,74t7kcdgkr,1530,b448cec8ca33dfa429b07fe9cbc2c1780e630bf0071600c02291df2be30f8e7e,f7a24f6b436ed34ee65a4e05f2d07d9df65a8cba0ae3fe4f26ba88afc18035e2,f4040074e4d82732395c682ad915f19d1d611d7f8290a79a8d96eee93e344e6b
cgtnjyggtm,w68dtmpfyf,1462,9bc98a3e9c396914bdcc5cd2c0bbeb0a3ce18814671d3feb390a505cc7dbd743,39bd4292b462c9b405dcebe1e44e3a016ad790adb405124a830eea0263fdfccf,308ab6a131b464846bf5127647068d9ab68f34ca5809d8c2aaf7bda0ceb66f19
cgtnjyggtm,xcmzfsbd9t,2006,0f0ad7f0d3d109c1c4c517ebacb0040632e019d362117701d40d58a8d89fb592,4e1ce9a1bf1f83a7ce46e5060eb7e077937dedffb3863610a90113845cc7d463,d2c273bbe0028c629d26ea05996e24191d27aba276c67c9906a9efd4d801bde5
cgtnjyggtm,yfxyg8jm46,1428,b861535301a06ee6496484fe59da2cdde49795c1cde241c90548be6f3881f0ba,5cad8caa625b26a9a0765c6a262c29cfd0527e8944dd77c78769e5f1d751b625,2f6fa8ae5c09884c2c117f81e85ed9b9b20fc987220c7195c6700df2e7186cad
cgtnjyggtm,ykhs7s2dck,1292,34041a9d4c9cc669139bb86012822dcec9a45e8a7c04973c4782b1eed537436c,935b15f5234c93449f6f31774b9e3867ea9e820e9e91b7ee8210e92d23d2e71f,ce4cae41938badf69ac7f032804cf65e93bac8c320104ab6d75cc0ab37f8460e
