outer_domain,specimen_id,dataset_id,method,nominal_checkpoint,budgeted_regret,selected_mechanical_value,oracle_mechanical_value,value_capture
74t7kcdgkr,c8-10t,74t7kcdgkr,global_mechanical,0.0625,0.07190504488529414,-0.032974316889599176,0.03893072799569497,-0.8469997502550052
74t7kcdgkr,c8-10t,74t7kcdgkr,global_mechanical,0.09375,0.10986098966337365,-0.04965830440347696,0.06020268525989669,-0.824851984410673
74t7kcdgkr,c8-10t,74t7kcdgkr,global_mechanical,0.125,0.11112825414554217,-0.03805134510334762,0.07307690904219455,-0.5207027172068376
74t7kcdgkr,c8-10t,74t7kcdgkr,global_mechanical,0.1875,0.10611081257835919,-0.023892514221859007,0.08221829835650019,-0.29059850057052494
74t7kcdgkr,c8-10t,74t7kcdgkr,global_mechanical,0.25,0.03377715945909909,-0.012179562556158041,0.021597596902941052,-0.5639313767588416
74t7kcdgkr,c8-10t,74t7kcdgkr,o1_candidate_mlp_huber,0.0625,0.07223377252558294,-0.03330304452988797,0.03893072799569497,-0.8554436622292468
74t7kcdgkr,c8-10t,74t7kcdgkr,o1_candidate_mlp_huber,0.09375,0.08441859117193806,-0.02421590591204137,0.06020268525989669,-0.40223963113108024
74t7kcdgkr,c8-10t,74t7kcdgkr,o1_candidate_mlp_huber,0.125,0.08064856968565604,-0.007571660643461486,0.07307690904219455,-0.10361221817810624
74t7kcdgkr,c8-10t,74t7kcdgkr,o1_candidate_mlp_huber,0.1875,0.10832278788197525,-0.02610448952547506,0.08221829835650019,-0.31750218682811304
74t7kcdgkr,c8-10t,74t7kcdgkr,o1_candidate_mlp_huber,0.25,0.032321403433204665,-0.010723806530263613,0.021597596902941052,-0.4965277654942851
74t7kcdgkr,c8-10t,74t7kcdgkr,o1_candidate_ridge,0.0625,0.10162512013622338,-0.06269439214052841,0.03893072799569497,-1.610408933207241
74t7kcdgkr,c8-10t,74t7kcdgkr,o1_candidate_ridge,0.09375,0.12454948204909277,-0.06434679678919608,0.06020268525989669,-1.0688359914746184
74t7kcdgkr,c8-10t,74t7kcdgkr,o1_candidate_ridge,0.125,0.1278345691298889,-0.05475766008769434,0.07307690904219455,-0.7493154924776212
74t7kcdgkr,c8-10t,74t7kcdgkr,o1_candidate_ridge,0.1875,0.11624991713940924,-0.03403161878290906,0.08221829835650019,-0.41391781955091406
74t7kcdgkr,c8-10t,74t7kcdgkr,o1_candidate_ridge,0.25,0.030101916451276134,-0.008504319548335082,0.021597596902941052,-0.3937623054339442
74t7kcdgkr,c8-10t,74t7kcdgkr,o2_global_candidate,0.0625,0.100922352444072,-0.061991624448377025,0.03893072799569497,-1.592357185183698
74t7kcdgkr,c8-10t,74t7kcdgkr,o2_global_candidate,0.09375,0.12534110405162302,-0.06513841879172633,0.06020268525989669,-1.0819852720941256
74t7kcdgkr,c8-10t,74t7kcdgkr,o2_global_candidate,0.125,0.12732432147496686,-0.05424741243277231,0.07307690904219455,-0.7423331548061222
74t7kcdgkr,c8-10t,74t7kcdgkr,o2_global_candidate,0.1875,0.12183518752703071,-0.03961688917053052,0.08221829835650019,-0.48185002563238294
74t7kcdgkr,c8-10t,74t7kcdgkr,o2_global_candidate,0.25,0.036864372903984144,-0.015266776001043092,0.021597596902941052,-0.7068738281231713
74t7kcdgkr,c8-10t,74t7kcdgkr,o3_a5_mlp_huber,0.0625,0.03093095155369463,0.00799977644200034,0.03893072799569497,0.20548746077609875
74t7kcdgkr,c8-10t,74t7kcdgkr,o3_a5_mlp_huber,0.09375,0.04682639194560756,0.013376293314289134,0.06020268525989669,0.22218765253648234
74t7kcdgkr,c8-10t,74t7kcdgkr,o3_a5_mlp_huber,0.125,0.047475839887139104,0.025601069155055445,0.07307690904219455,0.3503304872989826
74t7kcdgkr,c8-10t,74t7kcdgkr,o3_a5_mlp_huber,0.1875,0.0355612809733874,0.04665701738311279,0.08221829835650019,0.5674772929598595
74t7kcdgkr,c8-10t,74t7kcdgkr,o3_a5_mlp_huber,0.25,0.01725432060700549,0.004343276295935561,0.021597596902941052,0.20109997956967682
74t7kcdgkr,c8-10t,74t7kcdgkr,o3_a5_ridge,0.0625,0.10426376971182383,-0.06533304171612886,0.03893072799569497,-1.6781870023944454
74t7kcdgkr,c8-10t,74t7kcdgkr,o3_a5_ridge,0.09375,0.11707368773666238,-0.056871002476765686,0.06020268525989669,-0.9446589006993951
74t7kcdgkr,c8-10t,74t7kcdgkr,o3_a5_ridge,0.125,0.124482488562635,-0.05140557952044045,0.07307690904219455,-0.7034449074845093
74t7kcdgkr,c8-10t,74t7kcdgkr,o3_a5_ridge,0.1875,0.1202893000693116,-0.038071001712811414,0.08221829835650019,-0.463047794394075
74t7kcdgkr,c8-10t,74t7kcdgkr,o3_a5_ridge,0.25,0.030101916451276134,-0.008504319548335082,0.021597596902941052,-0.3937623054339442
74t7kcdgkr,c8-10t,74t7kcdgkr,observed_uncertainty,0.0625,0.1046952868769645,-0.06576455888126953,0.03893072799569497,-1.6892712329587543
74t7kcdgkr,c8-10t,74t7kcdgkr,observed_uncertainty,0.09375,0.11800970700872437,-0.05780702174882768,0.06020268525989669,-0.9602067000711535
74t7kcdgkr,c8-10t,74t7kcdgkr,observed_uncertainty,0.125,0.11453795165948677,-0.04146104261729222,0.07307690904219455,-0.5673617447797723
74t7kcdgkr,c8-10t,74t7kcdgkr,observed_uncertainty,0.1875,0.10662665182178632,-0.024408353465286137,0.08221829835650019,-0.296872520511809
74t7kcdgkr,c8-10t,74t7kcdgkr,observed_uncertainty,0.25,0.03281133004192882,-0.01121373313898777,0.021597596902941052,-0.5192120766667675
74t7kcdgkr,c8-10t,74t7kcdgkr,random_median,0.0625,0.035810238683215645,0.0031204893124793243,0.03893072799569497,0.08015491805918434
74t7kcdgkr,c8-10t,74t7kcdgkr,random_median,0.09375,0.06456474924738542,-0.004362063987488729,0.06020268525989669,-0.07245630271569409
74t7kcdgkr,c8-10t,74t7kcdgkr,random_median,0.125,0.07888429339418912,-0.005807384351994571,0.07307690904219455,-0.07946948534237254
74t7kcdgkr,c8-10t,74t7kcdgkr,random_median,0.1875,0.09273133582134713,-0.010513037464846942,0.08221829835650019,-0.1278673686393046
74t7kcdgkr,c8-10t,74t7kcdgkr,random_median,0.25,0.03190034217217241,-0.010302745269231361,0.021597596902941052,-0.47703201960531016
74t7kcdgkr,c8-11,74t7kcdgkr,global_mechanical,0.0625,0.05263483073661568,0.021926925662904995,0.07456175639952067,0.2940773758790633
74t7kcdgkr,c8-11,74t7kcdgkr,global_mechanical,0.09375,0.058935496565063805,0.03366561752864394,0.09260111409370775,0.3635552105191305
74t7kcdgkr,c8-11,74t7kcdgkr,global_mechanical,0.125,0.05708183025702862,0.0426720210507614,0.09975385130779002,0.4277731685676685
74t7kcdgkr,c8-11,74t7kcdgkr,global_mechanical,0.1875,0.059859534961610006,0.032729779490632493,0.0925893144522425,0.35349413357536513
74t7kcdgkr,c8-11,74t7kcdgkr,global_mechanical,0.25,0.0,0.028310093266504133,0.028310093266504133,1.0
74t7kcdgkr,c8-11,74t7kcdgkr,o1_candidate_mlp_huber,0.0625,0.03520733202115478,0.03935442437836589,0.07456175639952067,0.5278097818336651
74t7kcdgkr,c8-11,74t7kcdgkr,o1_candidate_mlp_huber,0.09375,0.04206572097154604,0.05053539312216171,0.09260111409370775,0.5457320207942897
74t7kcdgkr,c8-11,74t7kcdgkr,o1_candidate_mlp_huber,0.125,0.039747168086813334,0.060006683220976686,0.09975385130779002,0.6015475335967366
74t7kcdgkr,c8-11,74t7kcdgkr,o1_candidate_mlp_huber,0.1875,0.0326881578097854,0.0599011566424571,0.0925893144522425,0.6469553964929081
74t7kcdgkr,c8-11,74t7kcdgkr,o1_candidate_mlp_huber,0.25,0.0,0.028310093266504133,0.028310093266504133,1.0
74t7kcdgkr,c8-11,74t7kcdgkr,o1_candidate_ridge,0.0625,0.0408849768915881,0.033676779507932575,0.07456175639952067,0.4516629051424688
74t7kcdgkr,c8-11,74t7kcdgkr,o1_candidate_ridge,0.09375,0.05009118982502936,0.04250992426867839,0.09260111409370775,0.45906493334043963
74t7kcdgkr,c8-11,74t7kcdgkr,o1_candidate_ridge,0.125,0.08563860409361879,0.014115247214171234,0.09975385130779002,0.1415007744474818
74t7kcdgkr,c8-11,74t7kcdgkr,o1_candidate_ridge,0.1875,0.07495193220594987,0.017637382246292632,0.0925893144522425,0.19049047236860125
74t7kcdgkr,c8-11,74t7kcdgkr,o1_candidate_ridge,0.25,0.0,0.028310093266504133,0.028310093266504133,1.0
74t7kcdgkr,c8-11,74t7kcdgkr,o2_global_candidate,0.0625,0.04026371353400349,0.034298042865517187,0.07456175639952067,0.4599951036794202
74t7kcdgkr,c8-11,74t7kcdgkr,o2_global_candidate,0.09375,0.04845189631823865,0.044149217775469096,0.09260111409370775,0.4767676739913979
74t7kcdgkr,c8-11,74t7kcdgkr,o2_global_candidate,0.125,0.08274082455412357,0.01701302675366645,0.09975385130779002,0.17055007431415192
74t7kcdgkr,c8-11,74t7kcdgkr,o2_global_candidate,0.1875,0.079790489706003,0.012798824746239501,0.0925893144522425,0.13823220122059685
74t7kcdgkr,c8-11,74t7kcdgkr,o2_global_candidate,0.25,0.0,0.028310093266504133,0.028310093266504133,1.0
74t7kcdgkr,c8-11,74t7kcdgkr,o3_a5_mlp_huber,0.0625,0.04153209798150903,0.03302965841801164,0.07456175639952067,0.4429839104249424
74t7kcdgkr,c8-11,74t7kcdgkr,o3_a5_mlp_huber,0.09375,0.06594983690986156,0.02665127718384619,0.09260111409370775,0.2878073060425214
74t7kcdgkr,c8-11,74t7kcdgkr,o3_a5_mlp_huber,0.125,0.08038519524539678,0.01936865606239324,0.09975385130779002,0.1941644939866166
74t7kcdgkr,c8-11,74t7kcdgkr,o3_a5_mlp_huber,0.1875,0.07164201712542562,0.020947297326816883,0.0925893144522425,0.2262388208697828
74t7kcdgkr,c8-11,74t7kcdgkr,o3_a5_mlp_huber,0.25,0.0,0.028310093266504133,0.028310093266504133,1.0
74t7kcdgkr,c8-11,74t7kcdgkr,o3_a5_ridge,0.0625,0.03975746646138312,0.034804289938137556,0.07456175639952067,0.4667847381658689
74t7kcdgkr,c8-11,74t7kcdgkr,o3_a5_ridge,0.09375,0.046345322901862884,0.046255791191844864,0.09260111409370775,0.4995165732567352
74t7kcdgkr,c8-11,74t7kcdgkr,o3_a5_ridge,0.125,0.08563860409361879,0.014115247214171234,0.09975385130779002,0.1415007744474818
74t7kcdgkr,c8-11,74t7kcdgkr,o3_a5_ridge,0.1875,0.07617771801888717,0.016411596433355324,0.0925893144522425,0.1772515168780131
74t7kcdgkr,c8-11,74t7kcdgkr,o3_a5_ridge,0.25,0.0,0.028310093266504133,0.028310093266504133,1.0
74t7kcdgkr,c8-11,74t7kcdgkr,observed_uncertainty,0.0625,0.09152419938324408,-0.016962442983723403,0.07456175639952067,-0.2274952174253294
