outer_domain,specimen_id,dataset_id,method,spearman,ndcg_5,ndcg_10,recall_5,recall_10,regret_1,mean_budgeted_regret,model_state_sha256
74t7kcdgkr,c8-12,74t7kcdgkr,random_median,-0.017239010989010987,0.9289906199518139,0.918986175853644,0.0,0.1,0.002179688614373565,0.05597573325554599,
74t7kcdgkr,c8-12t,74t7kcdgkr,global_mechanical,-0.03434065934065934,0.4115091383312444,0.5753338944283969,0.0,0.1,0.03263134460902106,0.05875337208551305,
74t7kcdgkr,c8-12t,74t7kcdgkr,o1_candidate_mlp_huber,0.023901098901098896,0.7709258570545295,0.820468280087016,0.2,0.4,0.013318079540927452,0.03984437751516188,a113b27eaf981fe1a4d46e56dc52e2046238910e4e6a8cda3c774a87b92af06e
74t7kcdgkr,c8-12t,74t7kcdgkr,o1_candidate_ridge,-0.07165750915750914,0.6562116522367333,0.7502605918437301,0.4,0.5,0.0069029929315671534,0.05245362393617474,e257a3fcf343c9e05ae7969591e173e45752b5095b8369372accce7d8236af8b
74t7kcdgkr,c8-12t,74t7kcdgkr,o2_global_candidate,-0.2194139194139194,0.39342217370490307,0.5658452721185957,0.0,0.2,0.03263134460902106,0.06505447050862787,74c1b5b0d8c67494d77bff7d9a830fa01c49551303973fb8fdcbacf64a30af00
74t7kcdgkr,c8-12t,74t7kcdgkr,o3_a5_mlp_huber,0.17335164835164835,0.7905641509560717,0.8373842362499025,0.0,0.2,0.01013921278258445,0.02894150988145965,4e7b0a185cb621883f659211b7228c6488fe22ae0bd2f308f62b41f83b479583
74t7kcdgkr,c8-12t,74t7kcdgkr,o3_a5_ridge,-0.1788003663003663,0.6459490056182168,0.732008961961128,0.4,0.3,0.0069029929315671534,0.05774710162195886,1d0d7e949289324c49e7a91d91df62ace2206a7650b5ca2cd2fbdfa2dcee0c0d
74t7kcdgkr,c8-12t,74t7kcdgkr,observed_uncertainty,-0.07019230769230768,0.9344418349965726,0.9300170653660682,0.4,0.3,0.0,0.03638255139376885,
74t7kcdgkr,c8-12t,74t7kcdgkr,random_median,0.006364468864468864,0.781461228024537,0.8281431060729428,0.0,0.1,0.010783045384510914,0.042483260539351066,
74t7kcdgkr,c8-13,74t7kcdgkr,global_mechanical,0.003091898330222302,0.8240307179785619,0.8328789329018318,0.2,0.2,0.0035136821020225195,0.037114515097354396,
74t7kcdgkr,c8-13,74t7kcdgkr,o1_candidate_mlp_huber,0.045279133324811045,0.7847653258743232,0.7844279657097546,0.0,0.3,0.004424953793616515,0.030933731568743728,a113b27eaf981fe1a4d46e56dc52e2046238910e4e6a8cda3c774a87b92af06e
74t7kcdgkr,c8-13,74t7kcdgkr,o1_candidate_ridge,0.08295448705233464,0.6875160504826072,0.7303477322434416,0.0,0.2,0.003697543993666619,0.034236189395765095,e257a3fcf343c9e05ae7969591e173e45752b5095b8369372accce7d8236af8b
74t7kcdgkr,c8-13,74t7kcdgkr,o2_global_candidate,-0.06916691079460262,0.5445004210368173,0.6350789761115574,0.0,0.0,0.007343283043680815,0.0425768147315911,74c1b5b0d8c67494d77bff7d9a830fa01c49551303973fb8fdcbacf64a30af00
74t7kcdgkr,c8-13,74t7kcdgkr,o3_a5_mlp_huber,0.024758089592372655,0.8081796542841178,0.8163247200349141,0.0,0.1,0.0037617989018778886,0.025972012713252713,4e7b0a185cb621883f659211b7228c6488fe22ae0bd2f308f62b41f83b479583
74t7kcdgkr,c8-13,74t7kcdgkr,o3_a5_ridge,0.007970226806795268,0.6818484799673381,0.7610178166293402,0.0,0.2,0.004424953793616515,0.03801916448149496,1d0d7e949289324c49e7a91d91df62ace2206a7650b5ca2cd2fbdfa2dcee0c0d
74t7kcdgkr,c8-13,74t7kcdgkr,observed_uncertainty,-0.2198250361301374,0.6695920433194619,0.7142333186894777,0.0,0.3,0.008121763657102044,0.042698671151245725,
74t7kcdgkr,c8-13,74t7kcdgkr,random_median,0.0014657888380313134,0.8075457832092401,0.8232997016657144,0.0,0.1,0.003364317032835795,0.03172380401681142,
74t7kcdgkr,c8-14,74t7kcdgkr,global_mechanical,-0.07417582417582416,0.3786978401234579,0.45029379950336307,0.0,0.2,0.008927972825601871,0.03751495323832201,
74t7kcdgkr,c8-14,74t7kcdgkr,o1_candidate_mlp_huber,0.016575091575091575,0.6970052781102613,0.722778840959922,0.2,0.3,0.0,0.028574091650299293,a113b27eaf981fe1a4d46e56dc52e2046238910e4e6a8cda3c774a87b92af06e
74t7kcdgkr,c8-14,74t7kcdgkr,o1_candidate_ridge,0.0570054945054945,0.7959140731039628,0.7413910099616785,0.4,0.3,0.0,0.02825909950230141,e257a3fcf343c9e05ae7969591e173e45752b5095b8369372accce7d8236af8b
74t7kcdgkr,c8-14,74t7kcdgkr,o2_global_candidate,0.13049450549450547,0.7806809434735394,0.7319154182071381,0.4,0.4,0.0,0.02926464807823568,74c1b5b0d8c67494d77bff7d9a830fa01c49551303973fb8fdcbacf64a30af00
74t7kcdgkr,c8-14,74t7kcdgkr,o3_a5_mlp_huber,0.100503663003663,0.4179695714084148,0.5330204928805921,0.0,0.2,0.008099112149141385,0.027757410712091368,4e7b0a185cb621883f659211b7228c6488fe22ae0bd2f308f62b41f83b479583
74t7kcdgkr,c8-14,74t7kcdgkr,o3_a5_ridge,0.04358974358974359,0.7397946581084182,0.7362656978829027,0.2,0.3,0.0,0.02928788775068909,1d0d7e949289324c49e7a91d91df62ace2206a7650b5ca2cd2fbdfa2dcee0c0d
74t7kcdgkr,c8-14,74t7kcdgkr,observed_uncertainty,0.11584249084249083,0.7947949490005108,0.7359220329700253,0.2,0.3,0.0,0.02666844446058094,
74t7kcdgkr,c8-14,74t7kcdgkr,random_median,0.0201007326007326,0.45193764999951114,0.5021867307287373,0.0,0.2,0.008623292428947382,0.03367050989915145,
74t7kcdgkr,c8-15,74t7kcdgkr,global_mechanical,-0.046520146520146514,0.7692944555362414,0.7877339990519051,0.0,0.0,0.006561084093732017,0.05714053137168307,
74t7kcdgkr,c8-15,74t7kcdgkr,o1_candidate_mlp_huber,0.15517399267399265,0.8811083794362313,0.894952405696074,0.4,0.4,0.0031420702651621113,0.03531290417661805,a113b27eaf981fe1a4d46e56dc52e2046238910e4e6a8cda3c774a87b92af06e
74t7kcdgkr,c8-15,74t7kcdgkr,o1_candidate_ridge,-0.04546703296703296,0.5671291298610447,0.5856679147749536,0.2,0.2,0.01432831894016462,0.07045879040106935,e257a3fcf343c9e05ae7969591e173e45752b5095b8369372accce7d8236af8b
74t7kcdgkr,c8-15,74t7kcdgkr,o2_global_candidate,0.03012820512820513,0.7512170394945624,0.6923964113666453,0.4,0.3,0.007762377386198671,0.06362355365077137,74c1b5b0d8c67494d77bff7d9a830fa01c49551303973fb8fdcbacf64a30af00
74t7kcdgkr,c8-15,74t7kcdgkr,o3_a5_mlp_huber,0.23704212454212448,0.8056252746365916,0.8385569110207388,0.0,0.3,0.004228596480193358,0.033325385414860874,4e7b0a185cb621883f659211b7228c6488fe22ae0bd2f308f62b41f83b479583
74t7kcdgkr,c8-15,74t7kcdgkr,o3_a5_ridge,-0.04386446886446886,0.7097270172569218,0.6397134572467105,0.4,0.3,0.007762377386198671,0.07135963648245883,1d0d7e949289324c49e7a91d91df62ace2206a7650b5ca2cd2fbdfa2dcee0c0d
74t7kcdgkr,c8-15,74t7kcdgkr,observed_uncertainty,-0.0701007326007326,0.8271092349368323,0.6687471556375626,0.4,0.2,0.0,0.0704792661012332,
74t7kcdgkr,c8-15,74t7kcdgkr,random_median,-0.014285714285714284,0.7167328006556203,0.7477924802333007,0.0,0.2,0.007978160401391321,0.051571131426187335,
