effect_id,point_estimate,lower,upper,improved_domains,domain_effects,indices_sha256
o2_spearman_positive,-0.01958620493212195,-0.05906029453672887,0.01947782215198501,3,-0.023627544713340897|0.021634148164760406|-0.084382187579861989|-0.081921812456862184|0.046446014303157153|0.0043341526894158473,f105e8e2c5970cb8017d478f6b4ddea0f008489c92d6637b677a57f921d80cc2
o2_minus_global_ndcg10,0.021022560940367734,-0.024019908812981088,0.07191776588726291,3,0.046203956654341849|0.047406948845127084|-0.05020141824216251|-0.0078737606763564782|0.12364802538142605|-0.033048386320169598,f105e8e2c5970cb8017d478f6b4ddea0f008489c92d6637b677a57f921d80cc2
global_minus_o2_budgeted_regret,-0.0017784499649516165,-0.011187410257790733,0.008222779526753857,2,-9.4380082715297964e-06|0.0062184065023532659|-0.018809270505814477|-0.012856373194989917|0.01856971155387703|-0.0037837361368640715,f105e8e2c5970cb8017d478f6b4ddea0f008489c92d6637b677a57f921d80cc2
random_minus_o2_budgeted_regret,-0.0019223038834669328,-0.010216764002062008,0.005958391562326171,3,0.0031144427365910124|0.0055815546329476828|-0.016431400050022762|-0.013948812013210937|0.011322405978577241|-0.0011720145856838338,f105e8e2c5970cb8017d478f6b4ddea0f008489c92d6637b677a57f921d80cc2
