panel,series,metric,value,ci95_lower,ci95_upper,status,source_claim_id,source_artifact,source_hash
a,Matched scalar,equal_domain_cai_ratio_mae,0.1892044106549976,,,SUPPORTED,U1_MATCHED_FIELD,results/p1_full_field_oracle/metrics.json,73bcf2112e62f756ff8055f49e89147c9f70f36ef5c5c276cdc76f666e8ab18b
a,Matched spatial field,equal_domain_cai_ratio_mae,0.12848935652346991,,,SUPPORTED,U1_MATCHED_FIELD,results/p1_full_field_oracle/metrics.json,73bcf2112e62f756ff8055f49e89147c9f70f36ef5c5c276cdc76f666e8ab18b
a,Registered MAE reduction,equal_domain_cai_ratio_mae,0.060715054131527668,0.0066387324870363223,0.15364295185378532,SUPPORTED,U1_MATCHED_FIELD,results/p1_full_field_oracle/metrics.json,73bcf2112e62f756ff8055f49e89147c9f70f36ef5c5c276cdc76f666e8ab18b
b,Surface reference,equal_domain_cai_ratio_mae,0.1881207810617217,,,SUPPORTED,U2_SPARSE_GAIN,results/p5_sparse_scan/bootstrap.csv,6dac2a094b77e380445f67e48b3c93f813b6e8be7948672448ad593778f3ab57
b,Full spatial field,equal_domain_cai_ratio_mae,0.12848935652346993,,,SUPPORTED,U2_SPARSE_RETENTION,results/p5_sparse_scan/retention.csv,f6aead6cb054294018cdd2ac309140fc46fac02ac30574e8f4841ae8e9960bf6
b,Sparse spatial field,equal_domain_cai_ratio_mae,0.13451371200896975,,,SUPPORTED,U2_SPARSE_RETENTION,results/p5_sparse_scan/retention.csv,f6aead6cb054294018cdd2ac309140fc46fac02ac30574e8f4841ae8e9960bf6
b,Registered gain retained,registered_full_field_gain_retention,0.89897347695198238,,,SUPPORTED,U2_SPARSE_RETENTION,results/p5_sparse_scan/retention.csv,f6aead6cb054294018cdd2ac309140fc46fac02ac30574e8f4841ae8e9960bf6
b,Surface-to-sparse reduction,equal_domain_cai_ratio_mae,0.053607069052751949,0.0056111805532430767,0.13544274819005619,SUPPORTED,U2_SPARSE_GAIN,results/p5_sparse_scan/bootstrap.csv,6dac2a094b77e380445f67e48b3c93f813b6e8be7948672448ad593778f3ab57
b,Sparse-to-full gap,equal_domain_cai_ratio_mae,0.0060243554854998169,0.0017300689873626627,0.010833148828451869,BOUNDARY_SUPPORTED,U2_SPARSE_FULL_GAP,results/p5_sparse_scan/bootstrap.csv,6dac2a094b77e380445f67e48b3c93f813b6e8be7948672448ad593778f3ab57
c,Mechanical vs uniform,cai_auebc,0.0039055139176624571,0.0028007400590012803,0.0050178614169575381,SUPPORTED_ORACLE_ONLY,U3_UNIFORM_ORACLE,results/mvd/m0_one_shot_oracle/summary.json,a8abea8c6452855e7e975227948706f153ed72791dc441018865c1c616ccd57d
c,Mechanical vs reconstruction,cai_auebc,0.0037297162801028347,0.002838032408647093,0.0046883883114938532,SUPPORTED_ORACLE_ONLY,U3_RECONSTRUCTION_ORACLE,results/mvd/m0_one_shot_oracle/summary.json,a8abea8c6452855e7e975227948706f153ed72791dc441018865c1c616ccd57d
c,Sequential headroom retained,one_shot_sequential_headroom_retention,0.56828276365802977,,,SUPPORTED_ORACLE_ONLY,U3_HEADROOM_RETENTION,results/mvd/m0_one_shot_oracle/summary.json,a8abea8c6452855e7e975227948706f153ed72791dc441018865c1c616ccd57d
d,CAI-specific oracle contrast,cai_auebc,0.048622843139313997,0.045273264544767003,0.052045350460869,SUPPORTED_ORACLE_ONLY,U4_ORACLE_CAI_SPECIFICITY,results/mavis_science_closure/p14_task_specificity/summary.json,26710df19821e5e6edbe333d7c105f2b2bbddb1cf783eb3a64910bb691b6004d
d,Image-specific oracle contrast,normalized_rgb_mse,0.00055025488863200004,0.00050062334949900001,0.00060629199436300005,SUPPORTED_ORACLE_ONLY,U4_ORACLE_IMAGE_SPECIFICITY,results/mavis_science_closure/p14_task_specificity/summary.json,26710df19821e5e6edbe333d7c105f2b2bbddb1cf783eb3a64910bb691b6004d
d,Learned global-mask separation,cross_objective_support_indicator,0,,,ADVERSE_CONTROL,U4_LEARNED_SPECIFICITY_BOUNDARY,results/mavis_science_closure/p14_task_specificity/summary.json,26710df19821e5e6edbe333d7c105f2b2bbddb1cf783eb3a64910bb691b6004d
