panel,series,metric,value,ci95_lower,ci95_upper,status,source_claim_id,source_artifact,source_hash
a,Valuation,cai_auebc_improvement,4.9786742278373763e-05,1.8446727599749598e-05,8.1048974533561515e-05,SUPPORTED_RETROSPECTIVE,A1_VALUATION_SUBSTITUTION,results/mavis_science_closure/p12_rvp_attribution/summary.json,c75e034b89e1f249185e1e389ce305bd6455dd6f2b46ede3d6fd9e8e9eee1040
a,Bounded learned planning,cai_auebc_improvement,3.1643098186706631e-06,1.4114836609307647e-07,6.2502709540107637e-06,SUPPORTED_RETROSPECTIVE,A1_LEARNED_PLANNING_SUBSTITUTION,results/mavis_science_closure/p12_rvp_attribution/summary.json,c75e034b89e1f249185e1e389ce305bd6455dd6f2b46ede3d6fd9e8e9eee1040
a,True-value stronger planning,cai_auebc_improvement,0.00011171243144555976,9.8982426574187982e-05,0.00012479264383388855,SUPPORTED_RETROSPECTIVE,A1_TRUE_VALUE_PLANNING_SUBSTITUTION,results/mavis_science_closure/p12_rvp_attribution/summary.json,c75e034b89e1f249185e1e389ce305bd6455dd6f2b46ede3d6fd9e8e9eee1040
b,Current greedy,bounded_set_planning_regret,0.00012065415511003872,0.00010330836663465408,0.00013862026880825305,RETROSPECTIVE_BOUND,A2_GREEDY_PLANNING_REGRET,results/mavis_science_closure/p13_set_planning/summary.json,263b8cf3451d54069f69468e2bf6eaea20f0e5f50dd090c3ae3b5cff175785cf
b,Beam width 2,bounded_set_planning_regret,0.000117686665345607,0.00010066660290281857,0.00013561460647246379,RETROSPECTIVE_BOUND,A2_GREEDY_PLANNING_REGRET,results/mavis_science_closure/p13_set_planning/summary.json,263b8cf3451d54069f69468e2bf6eaea20f0e5f50dd090c3ae3b5cff175785cf
b,Beam width 4,bounded_set_planning_regret,0.00011269444469579484,9.484632026816116e-05,0.00013083011442097331,RETROSPECTIVE_BOUND,A2_BEAM4_PLANNING_REGRET,results/mavis_science_closure/p13_set_planning/summary.json,263b8cf3451d54069f69468e2bf6eaea20f0e5f50dd090c3ae3b5cff175785cf
b,Two-step lookahead,bounded_set_planning_regret,0.00011506627202948664,9.7487348417039737e-05,0.00013347090214151924,RETROSPECTIVE_BOUND,A2_GREEDY_PLANNING_REGRET,results/mavis_science_closure/p13_set_planning/summary.json,263b8cf3451d54069f69468e2bf6eaea20f0e5f50dd090c3ae3b5cff175785cf
b,Bounded near-oracle,bounded_set_planning_regret,0,,,RETROSPECTIVE_BOUND,A2_GREEDY_PLANNING_REGRET,results/mavis_science_closure/p13_set_planning/summary.json,263b8cf3451d54069f69468e2bf6eaea20f0e5f50dd090c3ae3b5cff175785cf
c,Feedback benefit,cai_auebc_feedback_benefit,-1.4962761714999999e-05,-1.9435185744000001e-05,-1.0636813205e-05,ADVERSE_CONTROL,A3_FEEDBACK_BENEFIT,results/mavis_science_closure/p16_feedback_mechanism/summary.json,4b93de1520450f24d41449192b97761908d3d1efa4dbf0e5c02d20f3d390a07e
c,Baseline minus frozen policy,cai_auebc,-6.1142093684893317e-05,-8.4607724634266733e-05,-3.7766078012883111e-05,BOUNDARY_SUPPORTED,A4_BASELINE_MINUS_MAVIS,results/mavis/p7_final_frozen_eval/claim_evidence.csv,f37af43804d9c2b9a2021ca7f0fc43490257ca91bd8f6e917500a385480cf6e5
