method,nominal_checkpoint,domain_count,specimen_count,mean_exact_acquired_cost,mean_effective_budget,cai_mae,reconstruction_mse
global_mechanical_mask,0.03125,6,276,12769.691211550533,0.030742169611696,0.107030648995179,0.001531460527321
global_mechanical_mask,0.0625,6,276,25272.355053358446,0.06078914843326,0.102774740134468,0.001421444549066
global_mechanical_mask,0.09375,6,276,38005.953421217826,0.091429486003933,0.100024692477113,0.00131797948336
global_mechanical_mask,0.125,6,276,51424.263151286876,0.12362657699842,0.098850054565778,0.001186579087226
global_mechanical_mask,0.1875,6,276,77252.62962962964,0.185851576373887,0.092444022859604,0.000913442987572
global_mechanical_mask,0.25,6,276,102689.69591964845,0.247208301899445,0.089049431731575,0.00063000224352
global_reconstruction_mask,0.03125,6,276,12750.476522284996,0.030693964327733,0.097662731558611,0.00126564950069
global_reconstruction_mask,0.0625,6,276,25105.24795982423,0.060411349301305,0.09494299683349,0.00102168276228
global_reconstruction_mask,0.09375,6,276,37608.240929064654,0.090578690577773,0.094644913032107,0.000864397086142
global_reconstruction_mask,0.125,6,276,51305.75021971124,0.123329815840087,0.093182422318432,0.000784595404141
global_reconstruction_mask,0.1875,6,276,77203.00590081608,0.185649077763713,0.08999700250121,0.000660346701033
global_reconstruction_mask,0.25,6,276,102700.59221594478,0.24723225243532,0.089265991788006,0.000604757954268
mechanical_oracle,0.03125,6,276,12777.268778713464,0.030760323170438,0.070765886152279,0.001404321898394
mechanical_oracle,0.0625,6,276,25450.83864432527,0.061196691887483,0.051911213971801,0.001311390748661
mechanical_oracle,0.09375,6,276,38291.61335265794,0.092122502191876,0.045248505941245,0.001257572732678
mechanical_oracle,0.125,6,276,51164.02923682125,0.123109572983162,0.041506475664533,0.001212340916035
mechanical_oracle,0.1875,6,276,77148.33153647691,0.185621323930972,0.038044779505419,0.001148316546334
mechanical_oracle,0.25,6,276,103190.77934225765,0.248203845682278,0.036524335295778,0.001090951343741
reconstruction_oracle,0.03125,6,276,12744.36505172467,0.030688311406451,0.097737179649122,0.001183051423786
reconstruction_oracle,0.0625,6,276,25557.151404643115,0.061439080170457,0.093823641943223,0.000917379622559
reconstruction_oracle,0.09375,6,276,38348.8996903457,0.092208863881548,0.0929728111266,0.000769384999803
reconstruction_oracle,0.125,6,276,51206.69786768822,0.123173080048873,0.092505497699776,0.000656083950321
reconstruction_oracle,0.1875,6,276,77089.51826821733,0.185425733770697,0.09084868485908,0.000491569332886
reconstruction_oracle,0.25,6,276,103154.23002726062,0.248079698117083,0.090562716561262,0.000388420429914
