specimen_id,dataset_id,measured_count,native_count,effective_budget,output_sha256,p5_equivalent
c8-2,74t7kcdgkr,28730,114920,0.25,de14c3c5c497393f02f0431117ff8449fe713d37aea70c5bb039759c154af56c,true
c8-3,74t7kcdgkr,29744,118976,0.25,b01a1bbe7e62651b553f24659eedd090ef95e53066314552a77e72b0baa9c82a,true
c8-4,74t7kcdgkr,29744,118976,0.25,a92ffeed2e0b7257f11d70ebaf2a73b62bc171a17328dcd5b291c82b8e00f201,true
c8-5,74t7kcdgkr,28730,114920,0.25,a99bffa9856740093c2e787669e1a28bd569b04626f0fa6bed7b6f16156fb0e1,true
c8-6,74t7kcdgkr,29744,118976,0.25,93b9997159ac292e8079e5cf251df2301d1b00ab2edf183d5269053e99dff967,true
c8-6t,74t7kcdgkr,113906,454950,0.25037037037037035,84eab13e58b3bc9cf86458176d2157b0b03bc04442271c7949d0bc57601a427e,true
c8-7,74t7kcdgkr,28730,114920,0.25,3520baef27b82af8b0fc7fb4d2ad9c9cf9df3bc4e30493efa7e258a8aadc72b0,true
c8-8,74t7kcdgkr,28730,114920,0.25,d95e88309804f7c5b39e1eacc9749dfe4d94ccba9dd78d0abb471246446060f0,true
c8-8t,74t7kcdgkr,113906,454950,0.25037037037037035,77c93e4b42de2d4b7e877e079236cd0253496e0d356303ee5a0ebcd87763cff7,true
c8-9,74t7kcdgkr,29744,118976,0.25,e3c6a0e5e9c95cb762482fdae81552d1fd966441c6cc84c944fb06c85ab7ba0c,true
c8-9t,74t7kcdgkr,113906,454950,0.25037037037037035,c4d47124ad8bc4f02f9817a0b78fb8b0ce3f07a0b774ac4716e2ee51f275c975,true
c8-10t,74t7kcdgkr,113906,454950,0.25037037037037035,71659a596df4cdbc82af54c68500bf1ec2c10c0e7ff54a2ac49cd768e41b998a,true
c8-11,74t7kcdgkr,29744,118976,0.25,4f35d18d8a4a15f58c617a3cb3a863c0d67d9dd99108c0d1d9add00d1d6a2d39,true
c8-12,74t7kcdgkr,29744,118976,0.25,0b14dca44007281e050fc5ef390083e161289eb92aeaa48c21187f0ef8ce568b,true
c8-12t,74t7kcdgkr,113906,454950,0.25037037037037035,8f667c1aadd298dbfab4bf8164aedea2dd8358b5c0d7a0e835ef94e044109980,true
c8-13,74t7kcdgkr,28730,114920,0.25,7cbc98ae7a072fedaae7b85ef831f5711203535f893b309e030c1720cc510ee3,true
c8-14,74t7kcdgkr,28730,114920,0.25,2165d9696bb447141fe5130a2d537d8e630f8dfed7315509e4a1dfb5337b8e26,true
c8-15,74t7kcdgkr,29744,118976,0.25,8131eaac498757485b0e1a32a7768d69a093a34e0da930190f317f7f72199a4e,true
c8-16,74t7kcdgkr,29744,118976,0.25,318f1a7ef68b33137cf0cc0f83b55d5ba14282de7d1e5f10c0403fb9b85728fc,true
c8-17,74t7kcdgkr,28730,114920,0.25,a95055d807277d6d42cf76bb39095c5bc0fd28ec6af353c9240e3e7ceb48a66f,true
c8-18,74t7kcdgkr,29744,118976,0.25,9d0f852dff81c1123307a735969e438521e6ed149da86657a888512da61b9f54,true
c8-19,74t7kcdgkr,113906,454950,0.25037037037037035,e87dd0df932fc682ee2d2c7f141658990ae33c741115e75fb16fe38a862dc865,true
c8-20,74t7kcdgkr,113906,454950,0.25037037037037035,2ad29ad8bd013683a87897c38995d961f6088cca9c4ccd18ef51f259257f7116,true
c8-21,74t7kcdgkr,113906,454950,0.25037037037037035,6d1d9962753af995b0f439c92771320bb942db2b49727fff1835f29b9285ebac,true
c8-22,74t7kcdgkr,113906,454950,0.25037037037037035,7203493199f3f074637b07b394dc0562448d8143bd3fdbab1851d6677fcebccd,true
c8-23,74t7kcdgkr,113906,454950,0.25037037037037035,6dfac8d49498d2d84d7997dc156bf162f7af43e73d526d8ab65a8deb5deffe68,true
c8-24,74t7kcdgkr,113906,454950,0.25037037037037035,338abe03e4dbf35129996a11fa965fbab2c2af9137d05dc8f87c23d45581d26b,true
c8-25,74t7kcdgkr,113906,454950,0.25037037037037035,878f3e83ef080df0114a2d9bbb1f5b4ecef28071a9134cd73a072fe3c23c1916,true
c8-26,74t7kcdgkr,113906,454950,0.25037037037037035,c577699d75b7efebff76b0f48de7a12d615e320dee4c7eb730c0ee00a58ee69b,true
c8-27,74t7kcdgkr,113906,454950,0.25037037037037035,4fcf5d740281ddad4492105ff9c62e7150797c1d1d6b8b2245dfc1eaeac933c3,true
c8-28,74t7kcdgkr,113906,454950,0.25037037037037035,5e67c6e59a486ef2bf8dd931b1fbc006444237f3c4b81e843b48090514134f82,true
c8-29,74t7kcdgkr,113906,454950,0.25037037037037035,9a13fbff4764769224b255b0a33f8fdd2b941a20db1ced178ab722fec04ac358,true
c8-30,74t7kcdgkr,113906,454950,0.25037037037037035,f5d658b2f6cf84584cc761d6ac8a820b45df0f1c728545d91b581f869cbd159f,true
c8-32,74t7kcdgkr,113906,454950,0.25037037037037035,b173271f5187184d761ccd0441f9c33aa8fdfb213d324442a15ae539f96eb2e0,true
c8-33,74t7kcdgkr,113906,454950,0.25037037037037035,b5972487957745b0fdcf0ee163b26fc07bc02ceb3ee7588051929368e62f71f4,true
c8-34,74t7kcdgkr,113906,454950,0.25037037037037035,c4462fcd909769a02e4eee392b25a30c4cfc658c83d6cefc307679a8e6fd205f,true
