initial_checkpoint,current_checkpoint,metric,statistical_unit,contrast,left_source,right_source,estimate,bootstrap_mean,ci95_lower,ci95_upper,fraction_above_zero,bootstrap_replicates,seed
0.03125,0.0625,rank_spearman,physical_specimen_within_domain,real_minus_static,real,static,0.0027809846341797506,0.0027851458476065146,0.0024100319852822737,0.0031870095958044854,1,5000,20250826
0.03125,0.0625,rank_spearman,physical_specimen_within_domain,shuffled,shuffled,zero,0.9913184870396691,0.9913117590686392,0.9906881223989881,0.991936642433318,1,5000,20250826
0.03125,0.0625,rank_spearman,physical_specimen_within_domain,static,static,zero,0.9916776947025935,0.9916750860822896,0.9913587112865603,0.9919755355528804,1,5000,20250826
0.03125,0.0625,rank_spearman,physical_specimen_within_domain,teacher,teacher,zero,0.5965429205684817,0.596816562594798,0.5607936804328443,0.6308200061447718,1,5000,20250826
0.03125,0.0625,top_k_jaccard,physical_specimen_within_domain,positions_only,positions_only,zero,0.9292083127539709,0.9292354653719369,0.9188054803702213,0.9391736937792768,1,5000,20250826
0.03125,0.0625,top_k_jaccard,physical_specimen_within_domain,real,real,zero,0.9042948115617966,0.9042220766421584,0.8920524676631213,0.9159621903384509,1,5000,20250826
0.03125,0.0625,top_k_jaccard,physical_specimen_within_domain,real_minus_positions_only,real,positions_only,-0.02491350119217428,-0.02501338872977842,-0.04046112190232356,-0.009854181198076706,0.0004,5000,20250826
0.03125,0.0625,top_k_jaccard,physical_specimen_within_domain,real_minus_shuffled,real,shuffled,-0.01092635293815214,-0.011024664463702778,-0.027530351477085355,0.005161577046289625,0.0882,5000,20250826
0.03125,0.0625,top_k_jaccard,physical_specimen_within_domain,real_minus_static,real,static,0.006475749497666938,0.006498358358575747,-0.0064321203924160965,0.0195040497336192,0.8404,5000,20250826
0.03125,0.0625,top_k_jaccard,physical_specimen_within_domain,shuffled,shuffled,zero,0.9152211644999487,0.9152467411058611,0.9050312769037108,0.9249438323526427,1,5000,20250826
0.03125,0.0625,top_k_jaccard,physical_specimen_within_domain,static,static,zero,0.8978190620641296,0.8977237182835827,0.8876184040083389,0.907513331596641,1,5000,20250826
0.03125,0.0625,top_k_jaccard,physical_specimen_within_domain,teacher,teacher,zero,0.3993784319395411,0.3994915100568113,0.38171014940597814,0.41623308468454473,1,5000,20250826
0.03125,0.09375,best_action_turnover,physical_specimen_within_domain,positions_only,positions_only,zero,0.12972450662917467,0.12962298809546155,0.1061070353775461,0.15443818969798753,1,5000,20250826
0.03125,0.09375,best_action_turnover,physical_specimen_within_domain,real,real,zero,0.13613237926795765,0.13606175775249074,0.11037361930644504,0.16268838161827856,1,5000,20250826
0.03125,0.09375,best_action_turnover,physical_specimen_within_domain,real_minus_positions_only,real,positions_only,0.00640787263878298,0.006438769657029187,-0.025654995888592786,0.03778100377295449,0.6512,5000,20250826
0.03125,0.09375,best_action_turnover,physical_specimen_within_domain,real_minus_shuffled,real,shuffled,-0.06930628073019923,-0.06952487598889112,-0.09793084645453123,-0.041502032609820105,0,5000,20250826
0.03125,0.09375,best_action_turnover,physical_specimen_within_domain,real_minus_static,real,static,-0.07682056026314388,-0.07658966223038624,-0.12005445538033759,-0.03277187661986771,0.0006,5000,20250826
0.03125,0.09375,best_action_turnover,physical_specimen_within_domain,shuffled,shuffled,zero,0.2054386599981569,0.20558663374138186,0.18602379356475357,0.22504301728851475,1,5000,20250826
