dataset_id,grid_sha256,level0_budget,level0_count,level0_matches_mva,level1_budget,level1_count,level1_matches_mva,level2_budget,level2_count,level2_is_full_raster,native_height,native_width,specimen_id,zero_budget,zero_count,zero_state_sha256
74t7kcdgkr,1aa0a256e20a9a1c60ddb41e007c20d1ef49a29ffff570622990ff4ba42637b2,0.031126497417298605,14161,True,0.25037037037037035,113906,True,1.0,454950,True,674,675,c8-37,0.0,0,12a13ebe2457cf9eddc282bb9d90d490c373b7ade425f48bab2a49d936e72d45
74t7kcdgkr,1aa0a256e20a9a1c60ddb41e007c20d1ef49a29ffff570622990ff4ba42637b2,0.031126497417298605,14161,True,0.25037037037037035,113906,True,1.0,454950,True,674,675,c8-38,0.0,0,12a13ebe2457cf9eddc282bb9d90d490c373b7ade425f48bab2a49d936e72d45
74t7kcdgkr,1aa0a256e20a9a1c60ddb41e007c20d1ef49a29ffff570622990ff4ba42637b2,0.031126497417298605,14161,True,0.25037037037037035,113906,True,1.0,454950,True,674,675,c8-39,0.0,0,12a13ebe2457cf9eddc282bb9d90d490c373b7ade425f48bab2a49d936e72d45
74t7kcdgkr,1aa0a256e20a9a1c60ddb41e007c20d1ef49a29ffff570622990ff4ba42637b2,0.031126497417298605,14161,True,0.25037037037037035,113906,True,1.0,454950,True,674,675,c8-40,0.0,0,12a13ebe2457cf9eddc282bb9d90d490c373b7ade425f48bab2a49d936e72d45
74t7kcdgkr,1aa0a256e20a9a1c60ddb41e007c20d1ef49a29ffff570622990ff4ba42637b2,0.031126497417298605,14161,True,0.25037037037037035,113906,True,1.0,454950,True,674,675,c8-41,0.0,0,12a13ebe2457cf9eddc282bb9d90d490c373b7ade425f48bab2a49d936e72d45
74t7kcdgkr,1aa0a256e20a9a1c60ddb41e007c20d1ef49a29ffff570622990ff4ba42637b2,0.031126497417298605,14161,True,0.25037037037037035,113906,True,1.0,454950,True,674,675,c8-42,0.0,0,12a13ebe2457cf9eddc282bb9d90d490c373b7ade425f48bab2a49d936e72d45
74t7kcdgkr,1aa0a256e20a9a1c60ddb41e007c20d1ef49a29ffff570622990ff4ba42637b2,0.031126497417298605,14161,True,0.25037037037037035,113906,True,1.0,454950,True,674,675,c8-43,0.0,0,12a13ebe2457cf9eddc282bb9d90d490c373b7ade425f48bab2a49d936e72d45
cgtnjyggtm,9b013907df821ccaa85bcaa795167259a3371598ae902970065976d0b1ac5fed,0.015509396636993076,7056,True,0.25037037037037035,113906,True,1.0,454950,True,674,675,q24-1,0.0,0,a917262541aadb2965a2fc802030f963fa0cac3e5459e0d5d8550d55fe80b2ce
cgtnjyggtm,9b013907df821ccaa85bcaa795167259a3371598ae902970065976d0b1ac5fed,0.015509396636993076,7056,True,0.25037037037037035,113906,True,1.0,454950,True,674,675,q24-2,0.0,0,a917262541aadb2965a2fc802030f963fa0cac3e5459e0d5d8550d55fe80b2ce
cgtnjyggtm,9b013907df821ccaa85bcaa795167259a3371598ae902970065976d0b1ac5fed,0.015509396636993076,7056,True,0.25037037037037035,113906,True,1.0,454950,True,674,675,q24-3,0.0,0,a917262541aadb2965a2fc802030f963fa0cac3e5459e0d5d8550d55fe80b2ce
