action_count,dataset_id,effective_budget,embedding_sha256,exact_acquired_count,observation_sha256,outer_domain,outer_target_excluded,policy,progress_fraction,sample_id,snapshot_index,snapshot_sha256,source_prior_sha256,specimen_id
0,74t7kcdgkr,0.0,62b6e67977da1f203af7995c7bc301ecdd92201f80dfdf7173499b96d2a1694c,0,d10dfd8ffc91a3c6a4a939d3c6814ee5d987d2c2ba5d4e9255f787a32047d5b5,cgtnjyggtm,True,ZERO_ANCHOR,0.0,cgtnjyggtm::74t7kcdgkr::c8-2::ZERO_ANCHOR::-1,-1,9283122614839e11b0c15a70b5dfaaef7395379081b37d1ad162c982c0bb2067,b878acf1064b0ba88248fd68f90a51d79b81c4825d21fd2ecf73b6790f8ca447,c8-2
22,74t7kcdgkr,0.013104768534632789,e7d7315d990db1adb35c9d9d37f99ed4b244c7e06d7aff84052ea917b804e5e2,1506,41adb6a4543a37d49a101a705eeed8fb2c78b2f359a2811d6ac4ecdd52282483,cgtnjyggtm,True,UNIFORM_BROADEN,0.3333333333333333,cgtnjyggtm::74t7kcdgkr::c8-2::UNIFORM_BROADEN::0,0,9bfbd08b092ecfd0e2622dae3a9b0a8ef64defd9dad478a21d8696c3e3cffe43,b878acf1064b0ba88248fd68f90a51d79b81c4825d21fd2ecf73b6790f8ca447,c8-2
43,74t7kcdgkr,0.022920292377305952,e28f724033da3960773e86b418b7f8305d733c4ee3de11ce7bb59293a4abca35,2634,6d3508e503572f811c54d800e90f3d978d95cea5552072bb29c98be1f1f79c86,cgtnjyggtm,True,UNIFORM_BROADEN,0.6666666666666666,cgtnjyggtm::74t7kcdgkr::c8-2::UNIFORM_BROADEN::1,1,cf1862c6e6c983d3caccda8d9d25caab6b6dae4f05e6604b2116d340599d9d81,b878acf1064b0ba88248fd68f90a51d79b81c4825d21fd2ecf73b6790f8ca447,c8-2
64,74t7kcdgkr,0.03132613992342499,4db90bdfc9d4647c8ce965e30b13d6b644f863b950cd61678112dfe916223607,3600,5a897323166e5db6fc1ab83516cb4a5ac15bc0ad053cf8d25b7b033cdcdae125,cgtnjyggtm,True,UNIFORM_BROADEN,1.0,cgtnjyggtm::74t7kcdgkr::c8-2::UNIFORM_BROADEN::2,2,88dd7cc5a2433109b2de9376059cc564bccf61ecddbcc05bdd9e7ac998a1f54a,b878acf1064b0ba88248fd68f90a51d79b81c4825d21fd2ecf73b6790f8ca447,c8-2
22,74t7kcdgkr,0.012730595196658544,fad3a85ad64c10ed013a54b6f972e3c500a357204dafeee21e40f2f8ecb075d7,1463,a3426adb8c3365035fe1219d5b910a5887e6e77e55eb9ae095ec7c92b40849bb,cgtnjyggtm,True,CENTER_BROADEN,0.3333333333333333,cgtnjyggtm::74t7kcdgkr::c8-2::CENTER_BROADEN::0,0,4025593389d1795eb0b814f7dc8d631e2b59226ca4237f3fffe3b056b620983a,b878acf1064b0ba88248fd68f90a51d79b81c4825d21fd2ecf73b6790f8ca447,c8-2
43,74t7kcdgkr,0.022720153150017405,287fe375da70f689e300f645254500a6f64f137a8f3f71e9594e4da9311423fb,2611,83e04ff51d2e3a4ef49e59192b7a284ec4a4d271d9484681a2710c9c2db481f3,cgtnjyggtm,True,CENTER_BROADEN,0.6666666666666666,cgtnjyggtm::74t7kcdgkr::c8-2::CENTER_BROADEN::1,1,ae3b5ba4a5d2eca939f112b81dc0298769d57aff8f4dad209e758ba1efe06841,b878acf1064b0ba88248fd68f90a51d79b81c4825d21fd2ecf73b6790f8ca447,c8-2
64,74t7kcdgkr,0.03132613992342499,4db90bdfc9d4647c8ce965e30b13d6b644f863b950cd61678112dfe916223607,3600,3008688487611e41880491bed82592af1130f773c06bd1724b1fd2aac2830d2b,cgtnjyggtm,True,CENTER_BROADEN,1.0,cgtnjyggtm::74t7kcdgkr::c8-2::CENTER_BROADEN::2,2,89f34608264631195cf63881f75f3e483238e7345078580d0a2290bb0968eaae,b878acf1064b0ba88248fd68f90a51d79b81c4825d21fd2ecf73b6790f8ca447,c8-2
22,74t7kcdgkr,0.012582666202575706,0a0b47a7b12f92085c5474db72a16176b88632ee3a6c4d8adf65f00c01936b30,1446,caf8aa757827b58932837f27a1a3b430f47a2b93f7456f670e9212b84e7318a3,cgtnjyggtm,True,RANDOM_BROADEN,0.3333333333333333,cgtnjyggtm::74t7kcdgkr::c8-2::RANDOM_BROADEN::0,0,00971b2413e76c6856157cab9eaeec61a29ff4752d442109daaf14a4d8c429c8,b878acf1064b0ba88248fd68f90a51d79b81c4825d21fd2ecf73b6790f8ca447,c8-2
43,74t7kcdgkr,0.02297250261051166,2817f1049134ea50cf6da292de405572a1e0286a0b4d5d66dbc95f122e21ee3f,2640,90654685bf37b97589aecb24ed855318efb9da369531c4c41ab9fd78d9eca9bf,cgtnjyggtm,True,RANDOM_BROADEN,0.6666666666666666,cgtnjyggtm::74t7kcdgkr::c8-2::RANDOM_BROADEN::1,1,4127d427b478cbc7f07ed5d0671df3d906a884b0a2a0110150603da2c1770dd3,b878acf1064b0ba88248fd68f90a51d79b81c4825d21fd2ecf73b6790f8ca447,c8-2
64,74t7kcdgkr,0.03132613992342499,4db90bdfc9d4647c8ce965e30b13d6b644f863b950cd61678112dfe916223607,3600,1a07047473d0779b5bc7394c7cc1656cb4b14231acd8c21e4630033d1dd462d7,cgtnjyggtm,True,RANDOM_BROADEN,1.0,cgtnjyggtm::74t7kcdgkr::c8-2::RANDOM_BROADEN::2,2,6a325365fdd53cf0a9a53afee660302e75e4955899fb49c14701822bf361faa7,b878acf1064b0ba88248fd68f90a51d79b81c4825d21fd2ecf73b6790f8ca447,c8-2
