effect_key,estimate,ordinary_low,ordinary_high,simultaneous_low,simultaneous_high,effect_state_sha256,index_matrix_sha256,draws_sha256
patch_shuffle_8x8_minus_original,0.05545046998688848,0.0134517594088905,0.10855919214903209,0.009047576688234813,0.1234249333488851,e81f45660a1d1e9bffe2f7d0a2c5c4c68996ec1c57068ed2c954917004be7746,ca924d0eaafe0117a79d2135618a4338b898cbb3be9f658b9796f7abfeb7ba7d,50a5904da13c3597b35adec528311de051c5f4ed833dc675b7d892ecd2f8de63
pixel_shuffle_minus_original,0.06746977099366964,0.02089564448617187,0.12957163642949696,0.016623784663712216,0.1450993753578265,90c162dba54361796d5bf9ac64ff8fd9826949a4679f8c6d3f1c844b2b4df7a1,ca924d0eaafe0117a79d2135618a4338b898cbb3be9f658b9796f7abfeb7ba7d,50a5904da13c3597b35adec528311de051c5f4ed833dc675b7d892ecd2f8de63
canonical_compact_minus_original,0.05691637235172728,0.022889195399911924,0.09965697218331178,0.019906565591461218,0.11027669744856373,5b4280d836f95ce1638c8d48c0ac11ea96384780c9251e5de0bd9c348bd8f3b7,ca924d0eaafe0117a79d2135618a4338b898cbb3be9f658b9796f7abfeb7ba7d,50a5904da13c3597b35adec528311de051c5f4ed833dc675b7d892ecd2f8de63
