method,seed,outer_domain,inner_domain,pca_dimension,mae,fit_domains_json,fit_sample_count,query_sample_count,pca_state_sha256,ridge_state_sha256,state_sha256
original,0,74t7kcdgkr,cgtnjyggtm,8,0.13024935013588268,"[""w68dtmpfyf"",""xcmzfsbd9t"",""yfxyg8jm46"",""ykhs7s2dck""]",182,49,36cfb6fafb9fd43050c241cb401667f81b58d1816f296bb544ccc19f2cf7f1b1,baa2e2a55333ababd738c7a7b34338055df554fabd178c156d31d3d6f6f22566,6915642ac2370178043741dde2a7afc41384fde27507470d90b239fc7701bfa0
original,0,74t7kcdgkr,w68dtmpfyf,8,0.1126518809420865,"[""cgtnjyggtm"",""xcmzfsbd9t"",""yfxyg8jm46"",""ykhs7s2dck""]",188,43,3a83c9d8a8d5aa4235f64a1230c12c4d4fee27754bc9a74c1078cbdcbda9fd13,537f4743eeac42f834a9dd2a94debf6ef36a424aa208a5659f68c66e5f88c04c,dd9ff826221f03e65cd21c48369276a254287a0632092c89d1cd71c14f1623ef
original,0,74t7kcdgkr,xcmzfsbd9t,8,0.1081235339240804,"[""cgtnjyggtm"",""w68dtmpfyf"",""yfxyg8jm46"",""ykhs7s2dck""]",172,59,f1d95205c0985307409b2ecc34d0c74a7ee87134032013e03dd96e0cee262373,f99508a555a057b657f8ff84a76962721b38d2d7a2116c02f260923ce4096c3c,467ce30e5dd49f9fd3431a34b85c336554732eb07c9696b48268ecc6ca3458ff
original,0,74t7kcdgkr,yfxyg8jm46,8,0.14067437585787454,"[""cgtnjyggtm"",""w68dtmpfyf"",""xcmzfsbd9t"",""ykhs7s2dck""]",189,42,86d5874fd2c932abe867fd8679a275e48250dcf3dc558afb1e01fdb6fd90aaa9,dfb867f7f622e13f4a148324d524eb9680ad5148462cb4adfed98ab9298274d6,c2a61c62dd2c55266881ef9e8cbd697511e5c354cc8de2be2c01367b8fb640a6
original,0,74t7kcdgkr,ykhs7s2dck,8,0.39114802653812963,"[""cgtnjyggtm"",""w68dtmpfyf"",""xcmzfsbd9t"",""yfxyg8jm46""]",193,38,764feb0ffe1d448176267078a5980d163b4f86328ecbde9d48b9624a5ba95525,7f7aac8e8cea027ba17e84fab0f5559ccf42ae4055d647e7e3c0187547d76c9f,ddb58f689235a5bdb024c38e230bb9d59166b90378f9af334f743b192ed15454
original,0,74t7kcdgkr,cgtnjyggtm,16,0.12610677592569183,"[""w68dtmpfyf"",""xcmzfsbd9t"",""yfxyg8jm46"",""ykhs7s2dck""]",182,49,54ef66adaac85621d3cb01317f15ffd3888c88723544cd396e538dabdbf01885,0a65a589ea515e098a6b70e5bac9eea7d7024bbedb2c0168131bf04f0d38c9fa,aaf0370fb883d939066040a4ce73f7eee3b2389326c9259a60e8450ea3bf26c8
original,0,74t7kcdgkr,w68dtmpfyf,16,0.11128957433075262,"[""cgtnjyggtm"",""xcmzfsbd9t"",""yfxyg8jm46"",""ykhs7s2dck""]",188,43,47b4ffe390ce28ce9d44cf1e64cb4b044184206f390a2e02b38a41ae2d0a77df,41a37cb2f69a8937d51c5b0097af2392e9c891891d18f980af43cb5eee44f6e8,2b7565dc325cee66129e74e9f53cd70fbbc9f3c0873025f1796b42c99865f03b
original,0,74t7kcdgkr,xcmzfsbd9t,16,0.12916796146351633,"[""cgtnjyggtm"",""w68dtmpfyf"",""yfxyg8jm46"",""ykhs7s2dck""]",172,59,9edca2a208dacaf88e44c484f1040f8629301ec4f501bc7ad6553c55b48460c1,e648bdb014db64e7e733578c212056a2fdd80c1c4fbbf83ab2938d0071f46ce4,cb8a4d3fe6e659641e8d2d57760d147e35043fb035ba4f546b71da8622a3ba2d
original,0,74t7kcdgkr,yfxyg8jm46,16,0.14482463206886712,"[""cgtnjyggtm"",""w68dtmpfyf"",""xcmzfsbd9t"",""ykhs7s2dck""]",189,42,d54d753910767e21d5d4a90680caf73fce170c26b71404b6c12b3729ba9767ec,72048b3284a6f451214bbf03c5a28aca4e093c04d6c26ca0e922be8c13e75dea,e4bcbdb6ab1e3191e859a1e05df687bedb3bedeeb27ab8d400d7976c918c30e9
original,0,74t7kcdgkr,ykhs7s2dck,16,0.35509444015128755,"[""cgtnjyggtm"",""w68dtmpfyf"",""xcmzfsbd9t"",""yfxyg8jm46""]",193,38,5d01fef0cf4cfa810c4fef0e8b8387a541220c08cc725f0585ae21d77b3b6d1d,f639a472544a6dbb357dd7ea3960e3f866b8d44a806614c191558bf8c8ea31b4,091059dff6e375a70f3ca6ff44843961623d0559da40e390329addc13fc79bdb
