method,seed_count,specimen_count,equal_domain_mae,domain_mae_json,prediction_state_sha256,state_sha256
original,1,276,0.12848935652346993,"[[""74t7kcdgkr"",0.058736787700541755],[""cgtnjyggtm"",0.12469936856113768],[""w68dtmpfyf"",0.1059023306876731],[""xcmzfsbd9t"",0.090589419972691],[""yfxyg8jm46"",0.12702193559341912],[""ykhs7s2dck"",0.26398629662535694]]",841063f62ad3b13d4b270189e6278a6b4bba199eb8165c53ca3467bffd2789c4,ef4eb6dd3d211e5e818a820d06be13e531d5acb9b3c614e46b1a803a5415da10
pixel_shuffle,3,276,0.1959591275171396,"[[""74t7kcdgkr"",0.15362872378281767],[""cgtnjyggtm"",0.1294203735814622],[""w68dtmpfyf"",0.1340380666718579],[""xcmzfsbd9t"",0.11057226463487162],[""yfxyg8jm46"",0.17263593919035766],[""ykhs7s2dck"",0.4754593972414704]]",fd4fe5aaafcf6d6a46ba8065a9093dc1e61fcdbb48df3d4c8ac000bfe92df861,5f320e2a3d42055cf7033263e5fa0f1bcd371d438a81453cf418038f4ef18edf
patch_shuffle_8x8,3,276,0.18393982651035842,"[[""74t7kcdgkr"",0.14605445415454477],[""cgtnjyggtm"",0.1322231447273262],[""w68dtmpfyf"",0.11731682548355145],[""xcmzfsbd9t"",0.09879387907532859],[""yfxyg8jm46"",0.1648615267132316],[""ykhs7s2dck"",0.4443891289081679]]",c6693b337eea9d2ee541d7f6c3e9f4c4bcc52e5e7a59c247ed58e32d0af68a67,b43c6435554675c989877a268cbd0135eabb1b047b94369206c7930f81ec1176
canonical_compact,3,276,0.1854057288751972,"[[""74t7kcdgkr"",0.14699357104785526],[""cgtnjyggtm"",0.13637832755588838],[""w68dtmpfyf"",0.12706324599926536],[""xcmzfsbd9t"",0.12318814959718015],[""yfxyg8jm46"",0.16284964748681194],[""ykhs7s2dck"",0.4159614315641822]]",24c994560619a2c479e6b293c37ae8c89f776692d88587c1d5a3047de661a48c,e13e7b66e5127abb2cdcc073aa82a97b5bcd313a46fc650aab971a01016082b2
patch_shuffle_4x4,3,276,0.16072173115719668,"[[""74t7kcdgkr"",0.11633893152909297],[""cgtnjyggtm"",0.13229378419129478],[""w68dtmpfyf"",0.1090467030555013],[""xcmzfsbd9t"",0.10531828683380899],[""yfxyg8jm46"",0.13752194399639253],[""ykhs7s2dck"",0.3638107373370895]]",64f5c0c18673d2ee5f23db91f92b9f90be431f410a915f8463c3011a3e713246,a6af5bb920bb89aa7bb71220c246e99f2bf735b69e23d2f516e822f0d2b693c2
