method,seed,outer_domain,selected_pca_dimension,inner_equal_domain_mae,dimension_scores_json,outer_fit_domains_json,outer_fit_sample_count,state_sha256
original,0,74t7kcdgkr,16,0.1732966767880231,"[[8,0.17656943347961077],[16,0.1732966767880231],[32,0.17486867923644672]]","[""cgtnjyggtm"",""w68dtmpfyf"",""xcmzfsbd9t"",""yfxyg8jm46"",""ykhs7s2dck""]",231,b9248bc34db3f82a50b06ddeb757303aa6d0d681ce7bc54cd4e1b504a718d3f4
original,0,cgtnjyggtm,32,0.13263020037705905,"[[8,0.15802828657886184],[16,0.14798102705869726],[32,0.13263020037705905]]","[""74t7kcdgkr"",""w68dtmpfyf"",""xcmzfsbd9t"",""yfxyg8jm46"",""ykhs7s2dck""]",227,3cc55f1e6544be186e4a5b2e6c643d89625f1361c95f76de614e515dee33e960
original,0,w68dtmpfyf,8,0.11482278160514048,"[[8,0.11482278160514048],[16,0.12801955908931167],[32,0.1307038662155051]]","[""74t7kcdgkr"",""cgtnjyggtm"",""xcmzfsbd9t"",""yfxyg8jm46"",""ykhs7s2dck""]",233,c3bbe43afe2bbf03d321d8fff7d90f8a2d294f027035712eea05c6fff4564aa1
original,0,xcmzfsbd9t,32,0.13392701667679277,"[[8,0.15289268968892072],[16,0.14258068184749068],[32,0.13392701667679277]]","[""74t7kcdgkr"",""cgtnjyggtm"",""w68dtmpfyf"",""yfxyg8jm46"",""ykhs7s2dck""]",217,d2227fb76142b0563188f1d39e6c5bcfaccba7c57ae055da9ccde5e6f0561d73
original,0,yfxyg8jm46,8,0.10975943686091875,"[[8,0.10975943686091875],[16,0.11525915124924029],[32,0.123963394457978]]","[""74t7kcdgkr"",""cgtnjyggtm"",""w68dtmpfyf"",""xcmzfsbd9t"",""ykhs7s2dck""]",234,b3b16209c0451474524539982408029cf24f24db680d132fd7286d9c98457015
original,0,ykhs7s2dck,8,0.10372554138115109,"[[8,0.10372554138115109],[16,0.1079059910018653],[32,0.10958437829067565]]","[""74t7kcdgkr"",""cgtnjyggtm"",""w68dtmpfyf"",""xcmzfsbd9t"",""yfxyg8jm46""]",238,3a41a93aaae7ecc160f915cece0368f96130e82fb9203a18d56d633ec4e6e98c
pixel_shuffle,20260831,74t7kcdgkr,32,0.1676980607319329,"[[8,0.17426608176920994],[16,0.18420384723664135],[32,0.1676980607319329]]","[""cgtnjyggtm"",""w68dtmpfyf"",""xcmzfsbd9t"",""yfxyg8jm46"",""ykhs7s2dck""]",231,5ffe0cb943254999d0a4f01e9ebf7030f3fd0329baaf1a24f2e6216a8a2fd248
pixel_shuffle,20260831,cgtnjyggtm,16,0.24752372036585096,"[[8,0.257359076031238],[16,0.24752372036585096],[32,0.2563274671173812]]","[""74t7kcdgkr"",""w68dtmpfyf"",""xcmzfsbd9t"",""yfxyg8jm46"",""ykhs7s2dck""]",227,6d9f31bd90f7e9055b0c512cb5faee3bde59906bc8cb70a73b3e4467c968a5df
pixel_shuffle,20260831,w68dtmpfyf,32,0.20380676962854735,"[[8,0.20605153664522496],[16,0.21168300767453835],[32,0.20380676962854735]]","[""74t7kcdgkr"",""cgtnjyggtm"",""xcmzfsbd9t"",""yfxyg8jm46"",""ykhs7s2dck""]",233,1d4a3eeca53fd1ec2d45d46ca515d688fef80a1f9cc6d7aab2f99cd2384e21b5
pixel_shuffle,20260831,xcmzfsbd9t,32,0.23342636818096785,"[[8,0.24225176154237577],[16,0.23752952966225793],[32,0.23342636818096785]]","[""74t7kcdgkr"",""cgtnjyggtm"",""w68dtmpfyf"",""yfxyg8jm46"",""ykhs7s2dck""]",217,19e01c784a4fc0952922451f865b3f44d24e6368126c108391bdab8b17c7fa48
pixel_shuffle,20260831,yfxyg8jm46,16,0.16257513231169712,"[[8,0.16516937218780708],[16,0.16257513231169712],[32,0.1667641544010972]]","[""74t7kcdgkr"",""cgtnjyggtm"",""w68dtmpfyf"",""xcmzfsbd9t"",""ykhs7s2dck""]",234,77be7d8c19cd0dff742c193e34466e3a663792a2eb13b5ec8fb07da7890e2c20
pixel_shuffle,20260831,ykhs7s2dck,8,0.1286618697906726,"[[8,0.1286618697906726],[16,0.13017697288762647],[32,0.15106068757486782]]","[""74t7kcdgkr"",""cgtnjyggtm"",""w68dtmpfyf"",""xcmzfsbd9t"",""yfxyg8jm46""]",238,912e04dbbf28ecb8f6c03c96b703dc60aaa406a9690e699a15c16bcbd6ba558f
pixel_shuffle,20260901,74t7kcdgkr,16,0.15580203030170434,"[[8,0.16599956832180854],[16,0.15580203030170434],[32,0.20148051228153366]]","[""cgtnjyggtm"",""w68dtmpfyf"",""xcmzfsbd9t"",""yfxyg8jm46"",""ykhs7s2dck""]",231,bb06882083da95a4997aa7fea9647ff6e86979e32bf15495b423e45fad780594
pixel_shuffle,20260901,cgtnjyggtm,16,0.24894774638145636,"[[8,0.25830109251198946],[16,0.24894774638145636],[32,0.25152721730823996]]","[""74t7kcdgkr"",""w68dtmpfyf"",""xcmzfsbd9t"",""yfxyg8jm46"",""ykhs7s2dck""]",227,817fdd522d95f7b296dd32cc9332ff68040e753de58cc9d59b4a41da279b9d20
pixel_shuffle,20260901,w68dtmpfyf,32,0.18417228231524763,"[[8,0.19861480534574844],[16,0.19574365621403703],[32,0.18417228231524763]]","[""74t7kcdgkr"",""cgtnjyggtm"",""xcmzfsbd9t"",""yfxyg8jm46"",""ykhs7s2dck""]",233,21180c6925838d1b1db8b84c8e6f4cb1b6a692cc1dd7b4ac2071f81c5d708130
pixel_shuffle,20260901,xcmzfsbd9t,16,0.22324113615004312,"[[8,0.22589648550957458],[16,0.22324113615004312],[32,0.22479075191657105]]","[""74t7kcdgkr"",""cgtnjyggtm"",""w68dtmpfyf"",""yfxyg8jm46"",""ykhs7s2dck""]",217,035d7be3422688e0a6726675f2dc4143abe180dcdf1b085faa45542c954805d2
pixel_shuffle,20260901,yfxyg8jm46,32,0.14285639005402467,"[[8,0.15296124160916008],[16,0.15670300710740626],[32,0.14285639005402467]]","[""74t7kcdgkr"",""cgtnjyggtm"",""w68dtmpfyf"",""xcmzfsbd9t"",""ykhs7s2dck""]",234,a8d1f66605de6c5030d77fcf102db8fa911e25e12f0efab75b298e2e56e26d87
pixel_shuffle,20260901,ykhs7s2dck,8,0.12761947009184355,"[[8,0.12761947009184355],[16,0.13231318045975926],[32,0.13021239505394486]]","[""74t7kcdgkr"",""cgtnjyggtm"",""w68dtmpfyf"",""xcmzfsbd9t"",""yfxyg8jm46""]",238,bb4dca6904323de184ced573a6060781a172f3e994012903dd487c585ec49d16
pixel_shuffle,20260902,74t7kcdgkr,16,0.16166406266609973,"[[8,0.16633498779989536],[16,0.16166406266609973],[32,0.16692306036708]]","[""cgtnjyggtm"",""w68dtmpfyf"",""xcmzfsbd9t"",""yfxyg8jm46"",""ykhs7s2dck""]",231,65970317e5c7a82ec67194aab00377e9fb4f998f33c79bc0e9b77044f50b1538
pixel_shuffle,20260902,cgtnjyggtm,32,0.23995386189564596,"[[8,0.2519162294310737],[16,0.24208723199432863],[32,0.23995386189564596]]","[""74t7kcdgkr"",""w68dtmpfyf"",""xcmzfsbd9t"",""yfxyg8jm46"",""ykhs7s2dck""]",227,f41c873317d9914d22d97755c06a15baaf5b3723e7ff52ee21236d5f69ff40d7
pixel_shuffle,20260902,w68dtmpfyf,16,0.19501584549513556,"[[8,0.1976579853121403],[16,0.19501584549513556],[32,0.1959988678712583]]","[""74t7kcdgkr"",""cgtnjyggtm"",""xcmzfsbd9t"",""yfxyg8jm46"",""ykhs7s2dck""]",233,82bb4786b56e4117efe69c1ee813862b2ef4d8ea49bdd63df88264bf129c8675
pixel_shuffle,20260902,xcmzfsbd9t,16,0.21713822264349672,"[[8,0.23154153631472169],[16,0.21713822264349672],[32,0.21981009890603226]]","[""74t7kcdgkr"",""cgtnjyggtm"",""w68dtmpfyf"",""yfxyg8jm46"",""ykhs7s2dck""]",217,7d9c317d66ff9505367d6b7c1b4955f7ea490982b9118613feca352922ce9cdf
pixel_shuffle,20260902,yfxyg8jm46,32,0.15429304447897768,"[[8,0.16489241853352926],[16,0.16602759552820742],[32,0.15429304447897768]]","[""74t7kcdgkr"",""cgtnjyggtm"",""w68dtmpfyf"",""xcmzfsbd9t"",""ykhs7s2dck""]",234,df14238e96f4b94ad586ff02f2945ea496213552b0f60fed139b7e084430af95
pixel_shuffle,20260902,ykhs7s2dck,8,0.12448214582084469,"[[8,0.12448214582084469],[16,0.13336633338569157],[32,0.13541310804870393]]","[""74t7kcdgkr"",""cgtnjyggtm"",""w68dtmpfyf"",""xcmzfsbd9t"",""yfxyg8jm46""]",238,0603394276a15df5577fb84741454411c73cbca479a50fa106e382d890073472
patch_shuffle_8x8,20260831,74t7kcdgkr,16,0.16049790744802683,"[[8,0.1634633368033827],[16,0.16049790744802683],[32,0.17622033989975078]]","[""cgtnjyggtm"",""w68dtmpfyf"",""xcmzfsbd9t"",""yfxyg8jm46"",""ykhs7s2dck""]",231,011e5194f6343c434ec642f93f9180e6c80c656438f92e782e2fb7b9823e2740
patch_shuffle_8x8,20260831,cgtnjyggtm,32,0.2075672386644481,"[[8,0.23796239685351822],[16,0.220384855347584],[32,0.2075672386644481]]","[""74t7kcdgkr"",""w68dtmpfyf"",""xcmzfsbd9t"",""yfxyg8jm46"",""ykhs7s2dck""]",227,6291857730073c27d48d3bdf887eb7c19866fd3b7d55cac9bf1298ad40043a67
