method,area,early_area,endpoint_mae,endpoint_rmse,endpoint_r2
CENTER_FIRST,48.475340629691196,51.8206447075084,48.02656921386719,65.22312805595055,0.576833872644771
GEOMETRY_SPREAD,47.310644799814476,51.87979245630103,46.9099169921875,62.27821704539136,0.6141842154698014
SERPENTINE,48.91141600813802,52.170183925142915,48.012801818847656,63.04097796057084,0.604675678972965
RANDOM,49.594391931229325,54.116689768361944,46.88638348388671,61.94055032586338,0.6183565884487423
LEARNED_STATIC_TRUE,47.97672118557994,52.94560607583583,46.99311798095703,62.16796138115515,0.6155490818137663
NO_VLM_SPATIAL_FEEDBACK,43.59708783510904,48.77083689123591,42.38468078613281,56.53360712086606,0.6820776623867433
VLM_MEAN_FEEDBACK,45.26256559134052,50.38975180978599,43.6108740234375,59.01225299382046,0.6535887071421653
VLM_SPATIAL_FEEDBACK,45.11037655166246,49.6424370892526,44.285798950195314,58.51744562330441,0.6593735482242711
VLM_SPATIAL_OPEN_LOOP,46.50098123538941,51.04797462878782,44.821927795410154,59.66268112749545,0.6459103913902872
