effect,comparator,estimand,gain_mpa,ci_low,ci_high,confidence,bootstrap_replicates,bootstrap_seed,inference_scope,simultaneous
fixed,GEOMETRY_SPREAD,area,2.200268248152016,-0.7867355762540802,5.033064130079875,0.95,5000,2026091401,POSTHOC_SELECTED_VALID_CONDITIONAL,False
feedback,VLM_SPATIAL_OPEN_LOOP,area,1.390604683726954,-0.683121721972151,3.4056354766038686,0.95,5000,2026091401,POSTHOC_SELECTED_VALID_CONDITIONAL,False
vlm_early,NO_VLM_SPATIAL_FEEDBACK,early_area,-0.8716001980166901,-4.870269194251939,3.2554099839529944,0.95,5000,2026091401,POSTHOC_SELECTED_VALID_CONDITIONAL,False
spatial,VLM_MEAN_FEEDBACK,area,0.15218903967805666,-2.1864411696385218,2.4253738642189284,0.95,5000,2026091401,POSTHOC_SELECTED_VALID_CONDITIONAL,False
