specimen_key,dataset_id,capture_group_id,method,run,seed_panel,training_seed,checkpoint_update,actor_state_dict_sha256,source_row,source,states,action_count,final_cost,native_pixels,target_mpa
w68dtmpfyf:q16-33,w68dtmpfyf,cg_a37eab4f5b7beb12,CENTER_FIRST,0,0,0,0,FIXED_ORDER,22,results/cai_agent_v3/w3_pilot/r1_0e11452a/policy_validation_episodes.csv.gz,16,15,0.23467633805912738,454950,257.2702331542969
w68dtmpfyf:q16-38,w68dtmpfyf,cg_a052ba6f5200ee4f,CENTER_FIRST,0,0,0,0,FIXED_ORDER,23,results/cai_agent_v3/w3_pilot/r1_0e11452a/policy_validation_episodes.csv.gz,16,15,0.23467633805912738,454950,344.6358337402344
w68dtmpfyf:q16-43,w68dtmpfyf,cg_6853c8e74a68016b,CENTER_FIRST,0,0,0,0,FIXED_ORDER,24,results/cai_agent_v3/w3_pilot/r1_0e11452a/policy_validation_episodes.csv.gz,16,15,0.23467633805912738,454950,302.281982421875
w68dtmpfyf:q16-6,w68dtmpfyf,cg_ce4d6a48a6968060,CENTER_FIRST,0,0,0,0,FIXED_ORDER,25,results/cai_agent_v3/w3_pilot/r1_0e11452a/policy_validation_episodes.csv.gz,16,15,0.23467633805912738,454950,418.267333984375
xcmzfsbd9t:c24-37,xcmzfsbd9t,cg_a01963fde121eda0,CENTER_FIRST,0,0,0,0,FIXED_ORDER,26,results/cai_agent_v3/w3_pilot/r1_0e11452a/policy_validation_episodes.csv.gz,16,15,0.23467633805912738,454950,381.1910705566406
xcmzfsbd9t:c24-39,xcmzfsbd9t,cg_d72ecf3171227da2,CENTER_FIRST,0,0,0,0,FIXED_ORDER,27,results/cai_agent_v3/w3_pilot/r1_0e11452a/policy_validation_episodes.csv.gz,16,15,0.23467633805912738,454950,246.54722595214844
xcmzfsbd9t:c24-42,xcmzfsbd9t,cg_a5c5defb812088ae,CENTER_FIRST,0,0,0,0,FIXED_ORDER,28,results/cai_agent_v3/w3_pilot/r1_0e11452a/policy_validation_episodes.csv.gz,16,15,0.23467633805912738,454950,301.55389404296875
xcmzfsbd9t:c24-47,xcmzfsbd9t,cg_954e3ed61c8db0a4,CENTER_FIRST,0,0,0,0,FIXED_ORDER,29,results/cai_agent_v3/w3_pilot/r1_0e11452a/policy_validation_episodes.csv.gz,16,15,0.23467633805912738,454950,480.5938415527344
xcmzfsbd9t:c24-50,xcmzfsbd9t,cg_59e95410b683945f,CENTER_FIRST,0,0,0,0,FIXED_ORDER,30,results/cai_agent_v3/w3_pilot/r1_0e11452a/policy_validation_episodes.csv.gz,16,15,0.23467633805912738,454950,292.1376647949219
xcmzfsbd9t:c24-51,xcmzfsbd9t,cg_7e1c8f7865d73e78,CENTER_FIRST,0,0,0,0,FIXED_ORDER,31,results/cai_agent_v3/w3_pilot/r1_0e11452a/policy_validation_episodes.csv.gz,16,15,0.23467633805912738,454950,263.2923583984375
xcmzfsbd9t:c24-52,xcmzfsbd9t,cg_b98b3f9ca1bfb997,CENTER_FIRST,0,0,0,0,FIXED_ORDER,32,results/cai_agent_v3/w3_pilot/r1_0e11452a/policy_validation_episodes.csv.gz,16,15,0.23467633805912738,454950,252.29762268066406
xcmzfsbd9t:c24-56,xcmzfsbd9t,cg_06ec34425b30c2e6,CENTER_FIRST,0,0,0,0,FIXED_ORDER,33,results/cai_agent_v3/w3_pilot/r1_0e11452a/policy_validation_episodes.csv.gz,16,15,0.23467633805912738,454950,230.2566680908203
xcmzfsbd9t:c24-9t,xcmzfsbd9t,cg_0d1994d0164384d4,CENTER_FIRST,0,0,0,0,FIXED_ORDER,34,results/cai_agent_v3/w3_pilot/r1_0e11452a/policy_validation_episodes.csv.gz,16,15,0.23467633805912738,454950,278.2536315917969
yfxyg8jm46:c16-12,yfxyg8jm46,cg_5a80e5179694ff19,CENTER_FIRST,0,0,0,0,FIXED_ORDER,35,results/cai_agent_v3/w3_pilot/r1_0e11452a/policy_validation_episodes.csv.gz,16,15,0.23467633805912738,454950,268.03814697265625
yfxyg8jm46:c16-14,yfxyg8jm46,cg_efd8928c6d17de81,CENTER_FIRST,0,0,0,0,FIXED_ORDER,36,results/cai_agent_v3/w3_pilot/r1_0e11452a/policy_validation_episodes.csv.gz,16,15,0.23467633805912738,454950,508.2288818359375
yfxyg8jm46:c16-16,yfxyg8jm46,cg_cd055af98e2ea119,CENTER_FIRST,0,0,0,0,FIXED_ORDER,37,results/cai_agent_v3/w3_pilot/r1_0e11452a/policy_validation_episodes.csv.gz,16,15,0.23467633805912738,454950,499.259765625
yfxyg8jm46:c16-17,yfxyg8jm46,cg_f64812b6759e7d2b,CENTER_FIRST,0,0,0,0,FIXED_ORDER,38,results/cai_agent_v3/w3_pilot/r1_0e11452a/policy_validation_episodes.csv.gz,16,15,0.23467633805912738,454950,512.5420532226562
yfxyg8jm46:c16-24,yfxyg8jm46,cg_354aea2e84731e86,CENTER_FIRST,0,0,0,0,FIXED_ORDER,39,results/cai_agent_v3/w3_pilot/r1_0e11452a/policy_validation_episodes.csv.gz,16,15,0.23467633805912738,454950,523.44140625
yfxyg8jm46:c16-39,yfxyg8jm46,cg_514ca9d914207c05,CENTER_FIRST,0,0,0,0,FIXED_ORDER,40,results/cai_agent_v3/w3_pilot/r1_0e11452a/policy_validation_episodes.csv.gz,16,15,0.23467633805912738,454950,234.76339721679688
yfxyg8jm46:c16-42,yfxyg8jm46,cg_cb9c6f640f08aee7,CENTER_FIRST,0,0,0,0,FIXED_ORDER,41,results/cai_agent_v3/w3_pilot/r1_0e11452a/policy_validation_episodes.csv.gz,16,15,0.23467633805912738,454950,322.6684265136719
yfxyg8jm46:c16-5,yfxyg8jm46,cg_7f9fe4a18a151cd4,CENTER_FIRST,0,0,0,0,FIXED_ORDER,42,results/cai_agent_v3/w3_pilot/r1_0e11452a/policy_validation_episodes.csv.gz,16,15,0.23467633805912738,454950,270.7127685546875
ykhs7s2dck:q8-15,ykhs7s2dck,cg_60c6812942ba2332,CENTER_FIRST,0,0,0,0,FIXED_ORDER,43,results/cai_agent_v3/w3_pilot/r1_0e11452a/policy_validation_episodes.csv.gz,16,15,0.23467633805912738,454950,260.08502197265625
ykhs7s2dck:q8-2,ykhs7s2dck,cg_93e604617899fa5f,CENTER_FIRST,0,0,0,0,FIXED_ORDER,44,results/cai_agent_v3/w3_pilot/r1_0e11452a/policy_validation_episodes.csv.gz,16,15,0.23467633805912738,454950,219.15264892578125
ykhs7s2dck:q8-22,ykhs7s2dck,cg_ca08b9786e924e66,CENTER_FIRST,0,0,0,0,FIXED_ORDER,45,results/cai_agent_v3/w3_pilot/r1_0e11452a/policy_validation_episodes.csv.gz,16,15,0.23467633805912738,454950,235.01319885253906
ykhs7s2dck:q8-33,ykhs7s2dck,cg_a841812423416444,CENTER_FIRST,0,0,0,0,FIXED_ORDER,46,results/cai_agent_v3/w3_pilot/r1_0e11452a/policy_validation_episodes.csv.gz,16,15,0.23467633805912738,454950,215.7657928466797
ykhs7s2dck:q8-34,ykhs7s2dck,cg_f28b9720dbc7e026,CENTER_FIRST,0,0,0,0,FIXED_ORDER,47,results/cai_agent_v3/w3_pilot/r1_0e11452a/policy_validation_episodes.csv.gz,16,15,0.23467633805912738,454950,235.4805145263672
ykhs7s2dck:q8-37,ykhs7s2dck,cg_a064df3d047f4519,CENTER_FIRST,0,0,0,0,FIXED_ORDER,48,results/cai_agent_v3/w3_pilot/r1_0e11452a/policy_validation_episodes.csv.gz,16,15,0.23467633805912738,454950,248.33407592773438
ykhs7s2dck:q8-8,ykhs7s2dck,cg_8fd87d72a8d71b83,CENTER_FIRST,0,0,0,0,FIXED_ORDER,49,results/cai_agent_v3/w3_pilot/r1_0e11452a/policy_validation_episodes.csv.gz,16,15,0.23467633805912738,454950,184.39810180664062
74t7kcdgkr:c8-12,74t7kcdgkr,cg_306e4a499acc46c1,GEOMETRY_SPREAD,0,0,0,0,FIXED_ORDER,50,results/cai_agent_v3/w3_pilot/r1_0e11452a/policy_validation_episodes.csv.gz,17,16,0.25,118976,197.97145080566406
74t7kcdgkr:c8-13,74t7kcdgkr,cg_f6941b7d17a6b65f,GEOMETRY_SPREAD,0,0,0,0,FIXED_ORDER,51,results/cai_agent_v3/w3_pilot/r1_0e11452a/policy_validation_episodes.csv.gz,17,16,0.2492690567351201,114920,266.5553894042969
