method,budget,physical_n,mae,mse,rmse,r2,actual_cost_mean,actual_cost_min,actual_cost_max,native_pixels_mean,native_pixels_min,native_pixels_max,unused_budget_mean,area,early_area,aggregation
CENTER_FIRST,0.0,50,58.55099456787109,5742.230749231293,75.77750820151908,0.4287998792276081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.475340629691196,51.8206447075084,POOLED_LOSS; AREA_DOMAIN_EQUAL
CENTER_FIRST,0.0625,50,47.885134887695315,4209.6203817093,64.8815873858624,0.5812540847892316,0.06234995212770904,0.06139923424991298,0.06240685789647214,26278.56,7056.0,28392.0,0.00015004787229096206,48.475340629691196,51.8206447075084,POOLED_LOSS; AREA_DOMAIN_EQUAL
CENTER_FIRST,0.125,50,48.827230529785155,4347.0162537967,65.93190618961884,0.5675868286030434,0.11101245178773139,0.1094911528739422,0.125,46295.22,14280.0,49813.0,0.013987548212268608,48.475340629691196,51.8206447075084,POOLED_LOSS; AREA_DOMAIN_EQUAL
CENTER_FIRST,0.1875,50,49.09352935791016,4392.673050113586,66.27724383311052,0.563045184648074,0.17251309430238826,0.17190020881415538,0.1871214758092586,72473.16,20460.0,78206.0,0.014986905697611741,48.475340629691196,51.8206447075084,POOLED_LOSS; AREA_DOMAIN_EQUAL
CENTER_FIRST,0.25,50,48.02656921386719,4254.056433402924,65.22312805595055,0.576833872644771,0.23475891309414762,0.23467633805912738,0.23557692307692313,98853.12,27051.0,106766.0,0.01524108690585238,48.475340629691196,51.8206447075084,POOLED_LOSS; AREA_DOMAIN_EQUAL
GEOMETRY_SPREAD,0.0,50,58.55099456787109,5742.230749231293,75.77750820151908,0.4287998792276081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.310644799814476,51.87979245630103,POOLED_LOSS; AREA_DOMAIN_EQUAL
GEOMETRY_SPREAD,0.0625,50,50.22089508056641,4597.362003031126,67.80384947059515,0.5426840463146962,0.06201760791405909,0.06139923424991298,0.0621301775147929,26127.36,7056.0,28224.0,0.00048239208594091226,47.310644799814476,51.87979245630103,POOLED_LOSS; AREA_DOMAIN_EQUAL
GEOMETRY_SPREAD,0.125,50,46.188976745605466,3896.3318829641353,62.42060463472086,0.6124180062920022,0.12454835101389078,0.12316394013226592,0.12462908011869436,52483.2,14154.0,56700.0,0.000451648986109221,47.310644799814476,51.87979245630103,POOLED_LOSS; AREA_DOMAIN_EQUAL
GEOMETRY_SPREAD,0.1875,50,46.55507232666016,3887.100879527344,62.34661882995215,0.6133362470434123,0.1873358278222533,0.18603376261747306,0.1874074074074074,78925.9,21379.0,85261.0,0.00016417217774669646,47.310644799814476,51.87979245630103,POOLED_LOSS; AREA_DOMAIN_EQUAL
GEOMETRY_SPREAD,0.25,50,46.9099169921875,3878.5763183528743,62.27821704539136,0.6141842154698014,0.24996977314972113,0.2492690567351201,0.25,105293.78,28646.0,113737.0,3.02268502788694e-05,47.310644799814476,51.87979245630103,POOLED_LOSS; AREA_DOMAIN_EQUAL
SERPENTINE,0.0,50,58.55099456787109,5742.230749231293,75.77750820151908,0.4287998792276081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.91141600813802,52.170183925142915,POOLED_LOSS; AREA_DOMAIN_EQUAL
SERPENTINE,0.0625,50,49.73057769775391,4188.751613949682,64.72056561827686,0.5833299753595051,0.062379189858304235,0.0621301775147929,0.06240685789647214,26281.92,7140.0,28392.0,0.0001208101416957652,48.91141600813802,52.170183925142915,POOLED_LOSS; AREA_DOMAIN_EQUAL
SERPENTINE,0.125,50,48.7731787109375,4196.133291361825,64.77756780986628,0.5825956936467955,0.12459220760978357,0.1242603550295858,0.12462908011869436,52488.24,14280.0,56700.0,0.00040779239021643265,48.91141600813802,52.170183925142915,POOLED_LOSS; AREA_DOMAIN_EQUAL
SERPENTINE,0.1875,50,48.343042602539064,4087.232855752753,63.93146999524376,0.5934284073931729,0.18680522536126268,0.18639053254437868,0.1868513023409166,78694.56,21420.0,85008.0,0.0006947746387373221,48.91141600813802,52.170183925142915,POOLED_LOSS; AREA_DOMAIN_EQUAL
SERPENTINE,0.25,50,48.012801818847656,3974.1649022251786,63.04097796057084,0.604675678972965,0.24918441521956713,0.2485207100591716,0.24925816023738873,104976.48,28560.0,113400.0,0.0008155847804328653,48.91141600813802,52.170183925142915,POOLED_LOSS; AREA_DOMAIN_EQUAL
RANDOM,0.0,50,58.55099456787109,5742.230749231293,75.77750820151908,0.4287998792276081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.594391931229325,54.116689768361944,POOLED_LOSS; AREA_DOMAIN_EQUAL
RANDOM,0.0625,50,53.15628833007813,4776.938159029073,69.11539740918136,0.5248209672303872,0.0536034845209486,0.046897461259479065,0.0625,22425.108,5418.0,28392.0,0.008896515479051403,49.594391931229325,54.116689768361944,POOLED_LOSS; AREA_DOMAIN_EQUAL
