method,budget,specimen_key,partial_abs_error,full_abs_error,gap_mpa
CENTER_FIRST,0.0,74t7kcdgkr:c8-12,17.985794067382812,13.05218505859375,4.9336090087890625
CENTER_FIRST,0.0,74t7kcdgkr:c8-13,145.62942504882812,48.41204833984375,97.21737670898438
CENTER_FIRST,0.0,74t7kcdgkr:c8-16,37.202972412109375,55.365203857421875,-18.1622314453125
CENTER_FIRST,0.0,74t7kcdgkr:c8-2,101.94380187988281,49.50349426269531,52.4403076171875
CENTER_FIRST,0.0,74t7kcdgkr:c8-21,21.8836669921875,40.40264892578125,-18.51898193359375
CENTER_FIRST,0.0,74t7kcdgkr:c8-28,42.6036376953125,24.069305419921875,18.534332275390625
CENTER_FIRST,0.0,74t7kcdgkr:c8-3,5.7838287353515625,9.135330200195312,-3.35150146484375
CENTER_FIRST,0.0,74t7kcdgkr:c8-39,48.819793701171875,34.272247314453125,14.54754638671875
CENTER_FIRST,0.0,74t7kcdgkr:c8-43,18.638214111328125,8.22113037109375,10.417083740234375
CENTER_FIRST,0.0,cgtnjyggtm:q24-11,41.74700927734375,50.60479736328125,-8.8577880859375
CENTER_FIRST,0.0,cgtnjyggtm:q24-22,160.74673461914062,136.11361694335938,24.63311767578125
CENTER_FIRST,0.0,cgtnjyggtm:q24-24,174.3056640625,136.93490600585938,37.370758056640625
CENTER_FIRST,0.0,cgtnjyggtm:q24-30,29.263229370117188,17.6099853515625,11.653244018554688
CENTER_FIRST,0.0,cgtnjyggtm:q24-44,129.51451110839844,35.23248291015625,94.28202819824219
CENTER_FIRST,0.0,cgtnjyggtm:q24-47,108.4508056640625,15.954833984375,92.4959716796875
CENTER_FIRST,0.0,cgtnjyggtm:q24-48,165.41929626464844,86.39570617675781,79.02359008789062
CENTER_FIRST,0.0,cgtnjyggtm:q24-6,28.339508056640625,51.736358642578125,-23.3968505859375
CENTER_FIRST,0.0,cgtnjyggtm:q24-9,48.91883850097656,44.77290344238281,4.14593505859375
CENTER_FIRST,0.0,w68dtmpfyf:q16-14,87.1068115234375,1.595977783203125,85.51083374023438
CENTER_FIRST,0.0,w68dtmpfyf:q16-2,108.4820556640625,65.98843383789062,42.493621826171875
CENTER_FIRST,0.0,w68dtmpfyf:q16-29,11.9107666015625,0.1917724609375,11.718994140625
CENTER_FIRST,0.0,w68dtmpfyf:q16-3,77.604736328125,8.855377197265625,68.74935913085938
CENTER_FIRST,0.0,w68dtmpfyf:q16-33,6.886322021484375,13.4556884765625,-6.569366455078125
CENTER_FIRST,0.0,w68dtmpfyf:q16-38,78.88333129882812,86.91232299804688,-8.02899169921875
CENTER_FIRST,0.0,w68dtmpfyf:q16-43,6.72149658203125,24.352386474609375,-17.630889892578125
CENTER_FIRST,0.0,w68dtmpfyf:q16-6,61.359619140625,87.81918334960938,-26.459564208984375
CENTER_FIRST,0.0,xcmzfsbd9t:c24-37,111.63165283203125,45.913787841796875,65.71786499023438
CENTER_FIRST,0.0,xcmzfsbd9t:c24-39,21.984634399414062,14.7996826171875,7.1849517822265625
CENTER_FIRST,0.0,xcmzfsbd9t:c24-42,28.987762451171875,1.78533935546875,27.202423095703125
CENTER_FIRST,0.0,xcmzfsbd9t:c24-47,15.187255859375,30.435546875,-15.248291015625
CENTER_FIRST,0.0,xcmzfsbd9t:c24-50,73.44450378417969,63.49839782714844,9.94610595703125
CENTER_FIRST,0.0,xcmzfsbd9t:c24-51,80.38818359375,61.579620361328125,18.808563232421875
