comparator,specimen_key,dataset_id,capture_group_id,area_gain,early_area_gain
GEOMETRY_SPREAD,cgtnjyggtm:q24-6,cgtnjyggtm,cg_344fc945dcb88757,10.695891566198476,6.347030354093256
GEOMETRY_SPREAD,cgtnjyggtm:q24-9,cgtnjyggtm,cg_2cc9cac1c5baaf14,29.459766389297794,47.07402086689966
GEOMETRY_SPREAD,w68dtmpfyf:q16-14,w68dtmpfyf,cg_73ef27ab04a735de,4.924461589292946,-1.0919602194061895
GEOMETRY_SPREAD,w68dtmpfyf:q16-2,w68dtmpfyf,cg_ff2d01cab2de3ddc,-6.487015674799409,12.807794571400805
GEOMETRY_SPREAD,w68dtmpfyf:q16-29,w68dtmpfyf,cg_94a031a5fc453cba,-8.039610970003782,9.298126593796367
GEOMETRY_SPREAD,w68dtmpfyf:q16-3,w68dtmpfyf,cg_3361913654df8b27,24.987187504829695,-8.87974401939988
GEOMETRY_SPREAD,w68dtmpfyf:q16-33,w68dtmpfyf,cg_a37eab4f5b7beb12,7.471725298383364,-1.0869196391773812
GEOMETRY_SPREAD,w68dtmpfyf:q16-38,w68dtmpfyf,cg_a052ba6f5200ee4f,-8.742416223462484,-7.659346637266751
GEOMETRY_SPREAD,w68dtmpfyf:q16-43,w68dtmpfyf,cg_6853c8e74a68016b,-7.902794446231432,-9.889546050572612
GEOMETRY_SPREAD,w68dtmpfyf:q16-6,w68dtmpfyf,cg_ce4d6a48a6968060,0.6538681376065512,10.155273963935755
GEOMETRY_SPREAD,xcmzfsbd9t:c24-37,xcmzfsbd9t,cg_a01963fde121eda0,4.941203269702754,-14.858772752650523
GEOMETRY_SPREAD,xcmzfsbd9t:c24-39,xcmzfsbd9t,cg_d72ecf3171227da2,0.7009218935406238,-4.878772451197632
GEOMETRY_SPREAD,xcmzfsbd9t:c24-42,xcmzfsbd9t,cg_a5c5defb812088ae,4.695076918249299,-0.7759436208219981
GEOMETRY_SPREAD,xcmzfsbd9t:c24-47,xcmzfsbd9t,cg_954e3ed61c8db0a4,-1.0183675249608939,5.544533036581331
GEOMETRY_SPREAD,xcmzfsbd9t:c24-50,xcmzfsbd9t,cg_59e95410b683945f,9.830319855343433,19.87563197768879
GEOMETRY_SPREAD,xcmzfsbd9t:c24-51,xcmzfsbd9t,cg_7e1c8f7865d73e78,3.8561966817428015,43.43789626821973
GEOMETRY_SPREAD,xcmzfsbd9t:c24-52,xcmzfsbd9t,cg_b98b3f9ca1bfb997,-26.878918553624942,-27.467663249422372
GEOMETRY_SPREAD,xcmzfsbd9t:c24-56,xcmzfsbd9t,cg_06ec34425b30c2e6,-12.836750522089059,-13.806931450979338
GEOMETRY_SPREAD,xcmzfsbd9t:c24-9t,xcmzfsbd9t,cg_0d1994d0164384d4,-1.1778319195635092,0.1816149538104952
GEOMETRY_SPREAD,yfxyg8jm46:c16-12,yfxyg8jm46,cg_5a80e5179694ff19,-3.540805701358412,-3.810705386701681
GEOMETRY_SPREAD,yfxyg8jm46:c16-14,yfxyg8jm46,cg_efd8928c6d17de81,-8.603746526382539,-18.950648159149093
GEOMETRY_SPREAD,yfxyg8jm46:c16-16,yfxyg8jm46,cg_cd055af98e2ea119,11.739675224682358,24.905078609980976
GEOMETRY_SPREAD,yfxyg8jm46:c16-17,yfxyg8jm46,cg_f64812b6759e7d2b,12.047690792048105,1.3336051750246014
GEOMETRY_SPREAD,yfxyg8jm46:c16-24,yfxyg8jm46,cg_354aea2e84731e86,23.511036941087298,10.675638368570702
GEOMETRY_SPREAD,yfxyg8jm46:c16-39,yfxyg8jm46,cg_514ca9d914207c05,8.927360084802846,14.191671380842633
GEOMETRY_SPREAD,yfxyg8jm46:c16-42,yfxyg8jm46,cg_cb9c6f640f08aee7,13.261804344109308,18.018522891061295
GEOMETRY_SPREAD,yfxyg8jm46:c16-5,yfxyg8jm46,cg_7f9fe4a18a151cd4,4.949677028838374,6.8998192188176155
GEOMETRY_SPREAD,ykhs7s2dck:q8-15,ykhs7s2dck,cg_60c6812942ba2332,9.821673790990083,-1.9292108086547053
GEOMETRY_SPREAD,ykhs7s2dck:q8-2,ykhs7s2dck,cg_93e604617899fa5f,6.509997515931525,10.87173439576765
GEOMETRY_SPREAD,ykhs7s2dck:q8-22,ykhs7s2dck,cg_ca08b9786e924e66,-17.258749611478592,-4.870606038854177
GEOMETRY_SPREAD,ykhs7s2dck:q8-33,ykhs7s2dck,cg_a841812423416444,-6.665279921487552,2.021480241392534
GEOMETRY_SPREAD,ykhs7s2dck:q8-34,ykhs7s2dck,cg_f28b9720dbc7e026,10.078812880230444,17.65550787186489
GEOMETRY_SPREAD,ykhs7s2dck:q8-37,ykhs7s2dck,cg_a064df3d047f4519,-0.9297282420232911,-1.1543959278341802
GEOMETRY_SPREAD,ykhs7s2dck:q8-8,ykhs7s2dck,cg_8fd87d72a8d71b83,-16.876194189222375,-14.54952256602342
SERPENTINE,74t7kcdgkr:c8-12,74t7kcdgkr,cg_306e4a499acc46c1,2.3075382300382525,-0.3138299524431396
SERPENTINE,74t7kcdgkr:c8-13,74t7kcdgkr,cg_f6941b7d17a6b65f,14.849539597773827,-2.5976300641547
SERPENTINE,74t7kcdgkr:c8-16,74t7kcdgkr,cg_f6941b7d17a6b65f,1.7688846023830465,-16.242127096864596
SERPENTINE,74t7kcdgkr:c8-2,74t7kcdgkr,cg_8ffe4fd6a878d7f3,18.253066268798754,17.899146463810432
SERPENTINE,74t7kcdgkr:c8-21,74t7kcdgkr,cg_49d6f1237b716b24,8.473237715747441,4.831131713343975
SERPENTINE,74t7kcdgkr:c8-28,74t7kcdgkr,cg_a983245f10699099,-0.1759051435189427,19.085904787329614
SERPENTINE,74t7kcdgkr:c8-3,74t7kcdgkr,cg_8ffe4fd6a878d7f3,5.423734427909173,-0.524571255113953
SERPENTINE,74t7kcdgkr:c8-39,74t7kcdgkr,cg_ff43edde8af2ccdb,-25.75350998178029,-14.274983541436455
SERPENTINE,74t7kcdgkr:c8-43,74t7kcdgkr,cg_a37dc8a00cc334eb,-16.25063380371255,-4.571523795097999
SERPENTINE,cgtnjyggtm:q24-11,cgtnjyggtm,cg_02fd3fc8caefe377,45.85547694798943,15.34451181655114
SERPENTINE,cgtnjyggtm:q24-22,cgtnjyggtm,cg_54890e18ff2b2669,24.09206993377208,20.9239742447337
SERPENTINE,cgtnjyggtm:q24-24,cgtnjyggtm,cg_39bf4ddc679c9a42,32.08757788693674,28.905769963828845
SERPENTINE,cgtnjyggtm:q24-30,cgtnjyggtm,cg_d3f7feef05d5a66a,4.479401430858854,-4.485875360455559
SERPENTINE,cgtnjyggtm:q24-44,cgtnjyggtm,cg_9ba3cd5fb00ea91f,5.192275123717764,-16.074905537983554
SERPENTINE,cgtnjyggtm:q24-47,cgtnjyggtm,cg_523711040788bde2,-5.858323551005675,9.952755060343705
SERPENTINE,cgtnjyggtm:q24-48,cgtnjyggtm,cg_5549ad4618fa66a9,-35.44725245820284,-24.52668274670357
