comparator,budget,specimen_key,dataset_id,capture_group_id,main_abs_error,control_abs_error,gain_mpa
CENTER_FIRST,0.0,yfxyg8jm46:c16-12,yfxyg8jm46,cg_5a80e5179694ff19,10.045257568359375,10.045257568359375,0.0
CENTER_FIRST,0.0,yfxyg8jm46:c16-14,yfxyg8jm46,cg_efd8928c6d17de81,19.52197265625,19.52197265625,0.0
CENTER_FIRST,0.0,yfxyg8jm46:c16-16,yfxyg8jm46,cg_cd055af98e2ea119,99.45077514648438,99.45077514648438,0.0
CENTER_FIRST,0.0,yfxyg8jm46:c16-17,yfxyg8jm46,cg_f64812b6759e7d2b,15.2723388671875,15.2723388671875,0.0
CENTER_FIRST,0.0,yfxyg8jm46:c16-24,yfxyg8jm46,cg_354aea2e84731e86,135.2977294921875,135.2977294921875,0.0
CENTER_FIRST,0.0,yfxyg8jm46:c16-39,yfxyg8jm46,cg_514ca9d914207c05,15.092727661132812,15.092727661132812,0.0
CENTER_FIRST,0.0,yfxyg8jm46:c16-42,yfxyg8jm46,cg_cb9c6f640f08aee7,88.8741455078125,88.8741455078125,0.0
CENTER_FIRST,0.0,yfxyg8jm46:c16-5,yfxyg8jm46,cg_7f9fe4a18a151cd4,28.29486083984375,28.29486083984375,0.0
CENTER_FIRST,0.0,ykhs7s2dck:q8-15,ykhs7s2dck,cg_60c6812942ba2332,30.12420654296875,30.12420654296875,0.0
CENTER_FIRST,0.0,ykhs7s2dck:q8-2,ykhs7s2dck,cg_93e604617899fa5f,27.22247314453125,27.22247314453125,0.0
CENTER_FIRST,0.0,ykhs7s2dck:q8-22,ykhs7s2dck,cg_ca08b9786e924e66,10.51983642578125,10.51983642578125,0.0
CENTER_FIRST,0.0,ykhs7s2dck:q8-33,ykhs7s2dck,cg_a841812423416444,6.0832061767578125,6.0832061767578125,0.0
CENTER_FIRST,0.0,ykhs7s2dck:q8-34,ykhs7s2dck,cg_f28b9720dbc7e026,12.063369750976562,12.063369750976562,0.0
CENTER_FIRST,0.0,ykhs7s2dck:q8-37,ykhs7s2dck,cg_a064df3d047f4519,50.68145751953125,50.68145751953125,0.0
CENTER_FIRST,0.0,ykhs7s2dck:q8-8,ykhs7s2dck,cg_8fd87d72a8d71b83,26.8619384765625,26.8619384765625,0.0
CENTER_FIRST,0.0625,74t7kcdgkr:c8-12,74t7kcdgkr,cg_306e4a499acc46c1,1.180633544921875,3.1519622802734375,1.9713287353515625
CENTER_FIRST,0.0625,74t7kcdgkr:c8-13,74t7kcdgkr,cg_f6941b7d17a6b65f,91.38442993164062,118.58944702148438,27.20501708984375
CENTER_FIRST,0.0625,74t7kcdgkr:c8-16,74t7kcdgkr,cg_f6941b7d17a6b65f,11.535858154296875,14.643035888671875,3.107177734375
CENTER_FIRST,0.0625,74t7kcdgkr:c8-2,74t7kcdgkr,cg_8ffe4fd6a878d7f3,34.25340270996094,30.140213012695312,-4.113189697265625
CENTER_FIRST,0.0625,74t7kcdgkr:c8-21,74t7kcdgkr,cg_49d6f1237b716b24,26.627960205078125,23.26885986328125,-3.359100341796875
CENTER_FIRST,0.0625,74t7kcdgkr:c8-28,74t7kcdgkr,cg_a983245f10699099,19.126983642578125,51.3011474609375,32.174163818359375
CENTER_FIRST,0.0625,74t7kcdgkr:c8-3,74t7kcdgkr,cg_8ffe4fd6a878d7f3,9.070053100585938,14.691787719726562,5.621734619140625
CENTER_FIRST,0.0625,74t7kcdgkr:c8-39,74t7kcdgkr,cg_ff43edde8af2ccdb,64.53108215332031,69.54135131835938,5.0102691650390625
CENTER_FIRST,0.0625,74t7kcdgkr:c8-43,74t7kcdgkr,cg_a37dc8a00cc334eb,36.41850280761719,36.41850280761719,0.0
CENTER_FIRST,0.0625,cgtnjyggtm:q24-11,cgtnjyggtm,cg_02fd3fc8caefe377,26.382171630859375,26.639617919921875,0.2574462890625
CENTER_FIRST,0.0625,cgtnjyggtm:q24-22,cgtnjyggtm,cg_54890e18ff2b2669,140.1934814453125,136.95315551757812,-3.240325927734375
CENTER_FIRST,0.0625,cgtnjyggtm:q24-24,cgtnjyggtm,cg_39bf4ddc679c9a42,163.65313720703125,184.59478759765625,20.941650390625
CENTER_FIRST,0.0625,cgtnjyggtm:q24-30,cgtnjyggtm,cg_d3f7feef05d5a66a,15.13916015625,15.740203857421875,0.601043701171875
